RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidISum,RegPeltierPidISumMax,RegPeltierPidMv,
1992,1987,56,0,2200,270,1000,1000,40000,40000,246000,
1991,1988,56,0,2200,270,1000,1000,40000,40000,246000,
1989,1980,56,0,2200,270,1000,1000,40000,40000,246000,
1987,1982,56,0,2200,270,1000,1000,40000,40000,251000,
1986,1991,56,0,2200,270,1000,1000,40000,40000,251000,
1985,1991,56,0,2200,270,1000,1000,40000,40000,254000,
1987,1992,56,0,2200,270,1000,1000,40000,40000,254000,
1986,2013,56,0,2200,270,1000,1000,40000,40000,254000,
1986,2012,56,0,2200,270,1000,1000,40000,40000,254000,
1985,1991,56,0,2200,270,1000,1000,40000,40000,254000,
1986,1991,56,0,2200,270,1000,1000,40000,40000,254000,
1986,1991,56,0,2200,270,1000,1000,40000,40000,254000,
1987,1993,56,0,2200,270,1000,1000,40000,40000,254000,
1989,1994,56,0,2200,270,1000,1000,40000,40000,253000,
1991,1994,56,0,2200,270,1000,1000,40000,40000,253000,
1992,1995,56,0,2200,270,1000,1000,40000,40000,248000,
1994,1993,56,0,2200,270,1000,1000,40000,40000,248000,
1995,1991,56,0,2200,270,1000,1000,40000,40000,248000,
1997,1991,56,0,2200,270,1000,1000,40000,40000,245000,
1999,1997,56,0,2200,270,1000,1000,40000,40000,245000,
2000,1997,56,0,2200,270,1000,1000,40000,40000,240000,
2003,1948,56,0,2200,270,1000,1000,40000,40000,240000,
2004,1948,56,0,2200,270,1000,1000,40000,40000,240000,
2005,1948,56,0,2200,270,1000,1000,40000,40000,237000,
2007,1996,56,0,2200,270,1000,1000,40000,40000,237000,
2009,1997,56,0,2200,270,1000,1000,40000,40000,231000,
2014,1997,56,0,2200,270,1000,1000,40000,40000,231000,
2016,1996,56,0,2200,270,1000,1000,40000,40000,231000,
2021,1996,56,0,2200,270,1000,1000,40000,40000,224000,
2018,1997,56,0,2200,270,1000,1000,40000,40000,224000,
2020,1997,56,0,2200,270,1000,1000,40000,40000,224000,
2034,1994,56,0,2200,270,1000,1000,40000,40000,220000,
2036,1993,56,0,2200,270,1000,1000,40000,40000,220000,
2038,1993,56,0,2200,270,1000,1000,40000,40000,202000,
2025,1995,56,0,2200,270,1000,1000,40000,40000,202000,
2026,1995,56,0,2200,270,1000,1000,40000,40000,202000,
2024,1978,56,0,2200,270,1000,1000,40000,40000,214000,
2024,1977,56,0,2200,270,1000,1000,40000,40000,214000,
2027,1976,56,0,2200,270,1000,1000,40000,40000,214000,
2031,1995,56,0,2200,270,1000,1000,40000,40000,214000,
2033,1995,56,0,2200,270,1000,1000,40000,40000,214000,
2033,1998,56,0,2200,270,1000,1000,40000,40000,206000,
2034,1998,56,0,2200,270,1000,1000,40000,40000,206000,
2036,1997,56,0,2200,270,1000,1000,40000,40000,205000,
2038,1994,56,0,2200,270,1000,1000,40000,40000,205000,
2041,1995,56,0,2200,270,1000,1000,40000,40000,205000,
2042,2006,56,0,2200,270,1000,1000,40000,40000,198000,
2044,2005,56,0,2200,270,1000,1000,40000,40000,198000,
2043,1998,56,0,2200,270,1000,1000,40000,40000,197000,
2045,1991,56,0,2200,270,1000,1000,40000,40000,197000,
2048,1992,56,0,2200,270,1000,1000,40000,40000,197000,
2049,2024,56,0,2200,270,1000,1000,40000,40000,192000,
2051,2022,56,0,2200,270,1000,1000,40000,40000,192000,
2051,2021,56,0,2200,270,1000,1000,40000,40000,189000,
2053,1990,56,0,2200,270,1000,1000,40000,40000,189000,
2061,1991,56,0,2200,270,1000,1000,40000,40000,189000,
2063,1985,56,0,2200,270,1000,1000,40000,40000,179000,
2064,1984,56,0,2200,270,1000,1000,40000,40000,179000,
2059,1992,56,0,2200,270,1000,1000,40000,40000,181000,
2059,1991,56,0,2200,270,1000,1000,40000,40000,181000,
2059,1989,56,0,2200,270,1000,1000,40000,40000,181000,
2060,1987,56,0,2200,270,1000,1000,40000,40000,181000,
2062,1988,56,0,2200,270,1000,1000,40000,40000,181000,
2063,1989,56,0,2200,270,1000,1000,40000,40000,181000,
2064,1988,56,0,2200,270,1000,1000,40000,40000,177000,
2064,1987,56,0,2200,270,1000,1000,40000,40000,177000,
2065,1986,56,0,2200,270,1000,1000,40000,40000,176000,
2068,1985,56,0,2200,270,1000,1000,40000,40000,176000,
2070,1986,56,0,2200,270,1000,1000,40000,40000,176000,
2069,1985,56,0,2200,270,1000,1000,40000,40000,170000,
2071,1986,56,0,2200,270,1000,1000,40000,40000,170000,
2070,1986,56,0,2200,270,1000,1000,40000,40000,170000,
2072,1985,56,0,2200,270,1000,1000,40000,40000,170000,
2074,2004,56,0,2200,270,1000,1000,40000,40000,170000,
2076,2004,56,0,2200,270,1000,1000,40000,40000,165000,
2076,1982,56,0,2200,270,1000,1000,40000,40000,165000,
2076,1986,56,0,2200,270,1000,1000,40000,40000,165000,
2077,1984,56,0,2200,270,1000,1000,40000,40000,165000,
2080,1979,56,0,2200,270,1000,1000,40000,40000,165000,
2080,1979,56,0,2200,270,1000,1000,40000,40000,160000,
2095,1980,56,0,2200,270,1000,1000,40000,40000,160000,
2095,1980,56,0,2200,270,1000,1000,40000,40000,145000,
2096,1980,56,0,2200,270,1000,1000,40000,40000,145000,
2082,1980,56,0,2200,270,1000,1000,40000,40000,145000,
2084,1979,56,0,2200,270,1000,1000,40000,40000,156000,
2086,1966,56,0,2200,270,1000,1000,40000,40000,156000,
2087,1966,56,0,2200,270,1000,1000,40000,40000,153000,
2088,1967,56,0,2200,270,1000,1000,40000,40000,153000,
2088,1977,56,0,2200,270,1000,1000,40000,40000,153000,
2087,1977,56,0,2200,270,1000,1000,40000,40000,152000,
2075,1977,56,0,2200,270,1000,1000,40000,40000,152000,
2077,1978,56,0,2200,270,1000,1000,40000,40000,164000,
2077,1977,56,0,2200,270,1000,1000,40000,40000,164000,
2092,1975,56,0,2200,270,1000,1000,40000,40000,164000,
2094,1975,56,0,2200,270,1000,1000,40000,40000,147000,
2094,1971,56,0,2200,270,1000,1000,40000,40000,147000,
2096,1972,56,0,2200,270,1000,1000,40000,40000,144000,
2096,1971,56,0,2200,270,1000,1000,40000,40000,144000,
2097,1973,56,0,2200,270,1000,1000,40000,40000,144000,
2098,1971,56,0,2200,270,1000,1000,40000,40000,143000,
