RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidKd,
2062,2039,4,0,2200,270,20,0,0,
2063,2039,4,0,2200,270,20,0,0,
2063,2040,4,0,2200,270,20,0,0,
2063,2038,4,0,2200,270,20,0,0,
2062,2038,4,0,2200,270,20,0,0,
2062,2039,4,0,2200,270,20,0,0,
2062,2039,4,0,2200,270,20,0,0,
2062,2040,4,0,2200,270,20,0,0,
2062,2042,4,0,2200,270,20,0,0,
2063,2041,4,0,2200,270,20,0,0,
2062,2040,4,0,2200,270,20,0,0,
2062,2039,4,0,2200,270,20,0,0,
2064,2039,4,0,2200,270,20,0,0,
2065,2040,4,0,2200,270,20,0,0,
2064,2038,4,0,2200,270,20,0,0,
2063,2038,4,0,2200,270,20,0,0,
2062,2038,4,0,2200,270,20,0,0,
2063,2039,4,0,2200,270,20,0,0,
2063,2040,4,0,2200,270,20,0,0,
2064,2039,4,0,2200,270,20,0,0,
2062,2040,4,0,2200,270,20,0,0,
2062,2040,4,0,2200,270,20,0,0,
2063,2041,4,0,2200,270,20,0,0,
2063,2043,4,0,2200,270,20,0,0,
2063,2040,4,0,2200,270,20,0,0,
2063,2039,4,0,2200,270,20,0,0,
2064,2038,4,0,2200,270,20,0,0,
2064,2039,4,0,2200,270,20,0,0,
2064,2039,4,0,2200,270,20,0,0,
2065,2039,4,0,2200,270,20,0,0,
2063,2040,4,0,2200,270,20,0,0,
2065,2039,4,0,2200,270,20,0,0,
2066,2040,4,0,2200,270,20,0,0,
2067,2039,4,0,2200,270,20,0,0,
2067,2039,4,0,2200,270,20,0,0,
2065,2039,4,0,2200,270,20,0,0,
2065,2040,4,0,2200,270,20,0,0,
2065,2042,4,0,2200,270,20,0,0,
2065,2040,4,0,2200,270,20,0,0,
2064,2039,4,0,2200,270,20,0,0,
2065,2038,4,0,2200,270,20,0,0,
2066,2038,4,0,2200,270,20,0,0,
2067,2039,4,0,2200,270,20,0,0,
2066,2040,4,0,2200,270,20,0,0,
2066,2040,4,0,2200,270,20,0,0,
2066,2040,4,0,2200,270,20,0,0,
2068,2040,4,0,2200,270,20,0,0,
2068,2038,4,0,2200,270,20,0,0,
2067,2039,4,0,2200,270,20,0,0,
2067,2041,4,0,2200,270,20,0,0,
2067,2043,4,0,2200,270,20,0,0,
2068,2042,4,0,2200,270,20,0,0,
2068,2041,4,0,2200,270,20,0,0,
2069,2040,4,0,2200,270,20,0,0,
2069,2039,3,0,2200,270,20,0,0,
2069,2039,3,0,2200,270,20,0,0,
2069,2039,3,0,2200,270,20,0,0,
2070,2038,3,0,2200,270,20,0,0,
2071,2038,3,0,2200,270,20,0,0,
2071,2039,3,0,2200,270,20,0,0,
2070,2039,3,0,2200,270,20,0,0,
2070,2041,3,0,2200,270,20,0,0,
2070,2041,3,0,2200,270,20,0,0,
2070,2042,3,0,2200,270,20,0,0,
2070,2041,3,0,2200,270,20,0,0,
2070,2041,3,0,2200,270,20,0,0,
2071,2041,3,0,2200,270,20,0,0,
2070,2040,3,0,2200,270,20,0,0,
2069,2040,3,0,2200,270,20,0,0,
2068,2040,3,0,2200,270,20,0,0,
2069,2040,3,0,2200,270,20,0,0,
2071,2039,3,0,2200,270,20,0,0,
2071,2039,3,0,2200,270,20,0,0,
2072,2039,3,0,2200,270,20,0,0,
2071,2040,3,0,2200,270,20,0,0,
2072,2039,3,0,2200,270,20,0,0,
2072,2039,3,0,2200,270,20,0,0,
2072,2038,3,0,2200,270,20,0,0,
2072,2039,3,0,2200,270,20,0,0,
2073,2039,3,0,2200,270,20,0,0,
2080,2041,3,0,2200,270,20,0,0,
2080,2041,3,0,2200,270,20,0,0,
2071,2042,3,0,2200,270,20,0,0,
2073,2042,3,0,2200,270,20,0,0,
2073,2041,3,0,2200,270,20,0,0,
2073,2041,3,0,2200,270,20,0,0,
2072,2040,3,0,2200,270,20,0,0,
2071,2040,3,0,2200,270,20,0,0,
2071,2041,3,0,2200,270,20,0,0,
2071,2040,3,0,2200,270,20,0,0,
2071,2040,3,0,2200,270,20,0,0,
2072,2041,3,0,2200,270,20,0,0,
2074,2041,3,0,2200,270,20,0,0,
2074,2040,3,0,2200,270,20,0,0,
2074,2041,3,0,2200,270,20,0,0,
2073,2040,3,0,2200,270,20,0,0,
2073,2039,3,0,2200,270,20,0,0,
2074,2040,3,0,2200,270,20,0,0,
2074,2041,3,0,2200,270,20,0,0,
2074,2041,3,0,2200,270,20,0,0,
2074,2042,3,0,2200,270,20,0,0,
2074,2041,3,0,2200,270,20,0,0,
2074,2042,3,0,2200,270,20,0,0,
2075,2042,3,0,2200,270,20,0,0,
2076,2043,3,0,2200,270,20,0,0,
2075,2041,3,0,2200,270,20,0,0,
2074,2041,3,0,2200,270,20,0,0,
2074,2042,3,0,2200,270,20,0,0,
2074,2042,3,0,2200,270,20,0,0,
2075,2037,3,0,2200,270,20,0,0,
2075,2037,3,0,2200,270,20,0,0,
2075,2037,3,0,2200,270,20,0,0,
2076,2042,3,0,2200,270,20,0,0,
2076,2041,3,0,2200,270,20,0,0,
2076,2042,3,0,2200,270,20,0,0,
2076,2041,3,0,2200,270,20,0,0,
2076,2042,3,0,2200,270,20,0,0,
2077,2041,3,0,2200,270,20,0,0,
2078,2042,3,0,2200,270,20,0,0,
2078,2042,3,0,2200,270,20,0,0,
2078,2041,3,0,2200,270,20,0,0,
2077,2041,3,0,2200,270,20,0,0,
2077,2040,3,0,2200,270,20,0,0,
2078,2040,3,0,2200,270,20,0,0,
2078,2042,3,0,2200,270,20,0,0,
2079,2041,3,0,2200,270,20,0,0,
2079,2040,3,0,2200,270,20,0,0,
2078,2041,3,0,2200,270,20,0,0,
2077,2040,3,0,2200,270,20,0,0,
2077,2042,3,0,2200,270,20,0,0,
2077,2044,3,0,2200,270,20,0,0,
2077,2043,3,0,2200,270,20,0,0,
2078,2042,3,0,2200,270,20,0,0,
2078,2042,3,0,2200,270,20,0,0,
2078,2042,3,0,2200,270,20,0,0,
2078,2041,3,0,2200,270,20,0,0,
