RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidKd,
2002,2054,56,0,2200,270,1000,0,0,
2004,2054,56,0,2200,270,1000,0,0,
2004,2054,56,0,2200,270,1000,0,0,
2003,2055,56,0,2200,270,1000,0,0,
2004,2055,56,0,2200,270,1000,0,0,
2004,2056,56,0,2200,270,1000,0,0,
2004,2056,56,0,2200,270,1000,0,0,
2005,2055,56,0,2200,270,1000,0,0,
2007,2056,56,0,2200,270,1000,0,0,
2009,2057,56,0,2200,270,1000,0,0,
2010,2057,56,0,2200,270,1000,0,0,
2010,2058,56,0,2200,270,1000,0,0,
2010,2056,56,0,2200,270,1000,0,0,
2012,2057,56,0,2200,270,1000,0,0,
2014,2055,56,0,2200,270,1000,0,0,
2016,2056,56,0,2200,270,1000,0,0,
2019,2054,56,0,2200,270,1000,0,0,
2020,2054,56,0,2200,270,1000,0,0,
2027,2054,56,0,2200,270,1000,0,0,
2027,2054,56,0,2200,270,1000,0,0,
2027,2056,56,0,2200,270,1000,0,0,
2024,2057,56,0,2200,270,1000,0,0,
2026,2055,56,0,2200,270,1000,0,0,
2029,2054,56,0,2200,270,1000,0,0,
2031,2055,56,0,2200,270,1000,0,0,
2033,2055,56,0,2200,270,1000,0,0,
2033,2040,56,0,2200,270,1000,0,0,
2034,2040,56,0,2200,270,1000,0,0,
2036,2040,56,0,2200,270,1000,0,0,
2038,2053,56,0,2200,270,1000,0,0,
2040,2054,56,0,2200,270,1000,0,0,
2042,2054,56,0,2200,270,1000,0,0,
2044,2053,56,0,2200,270,1000,0,0,
2044,2051,56,0,2200,270,1000,0,0,
2046,2053,56,0,2200,270,1000,0,0,
2047,2054,56,0,2200,270,1000,0,0,
2048,2052,56,0,2200,270,1000,0,0,
2047,2050,56,0,2200,270,1000,0,0,
2050,2048,56,0,2200,270,1000,0,0,
2052,2049,56,0,2200,270,1000,0,0,
2054,2048,56,0,2200,270,1000,0,0,
2056,2048,56,0,2200,270,1000,0,0,
2057,2047,56,0,2200,270,1000,0,0,
2058,2046,56,0,2200,270,1000,0,0,
2061,2045,56,0,2200,270,1000,0,0,
2060,2045,56,0,2200,270,1000,0,0,
2060,2043,56,0,2200,270,1000,0,0,
2061,2043,56,0,2200,270,1000,0,0,
2063,2043,56,0,2200,270,1000,0,0,
2065,2043,56,0,2200,270,1000,0,0,
2068,2044,56,0,2200,270,1000,0,0,
2069,2044,56,0,2200,270,1000,0,0,
2070,2043,56,0,2200,270,1000,0,0,
2071,2042,56,0,2200,270,1000,0,0,
2072,2042,56,0,2200,270,1000,0,0,
2072,2041,56,0,2200,270,1000,0,0,
2073,2041,56,0,2200,270,1000,0,0,
2074,2041,56,0,2200,270,1000,0,0,
2076,2042,56,0,2200,270,1000,0,0,
2079,2041,56,0,2200,270,1000,0,0,
2080,2039,56,0,2200,270,1000,0,0,
2080,2038,56,0,2200,270,1000,0,0,
2081,2038,56,0,2200,270,1000,0,0,
2083,2040,56,0,2200,270,1000,0,0,
2082,2038,56,0,2200,270,1000,0,0,
2084,2037,56,0,2200,270,1000,0,0,
2085,2035,56,0,2200,270,1000,0,0,
