RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidISum,RegPeltierPidISumMax,RegPeltierPidMv,
1999,1978,56,0,2200,270,1000,2,109,5000,203109,
2000,1978,56,0,2200,270,1000,2,109,5000,203109,
2000,1979,56,0,2200,270,1000,2,217,5000,200217,
1999,1978,56,0,2200,270,1000,2,217,5000,200217,
2000,1978,56,0,2200,270,1000,2,217,5000,200217,
2001,1978,56,0,2200,270,1000,2,325,5000,200325,
2001,1978,56,0,2200,270,1000,2,325,5000,200325,
2002,1977,56,0,2200,270,1000,2,431,5000,198431,
2002,1978,56,0,2200,270,1000,2,431,5000,198431,
2003,1978,56,0,2200,270,1000,2,431,5000,198431,
2005,1979,56,0,2200,270,1000,2,537,5000,197537,
2006,1978,56,0,2200,270,1000,2,537,5000,197537,
2006,1979,56,0,2200,270,1000,2,641,5000,194641,
2006,1980,56,0,2200,270,1000,2,641,5000,194641,
2008,1980,56,0,2200,270,1000,2,641,5000,194641,
2010,1979,56,0,2200,270,1000,2,744,5000,191744,
2011,1979,56,0,2200,270,1000,2,744,5000,191744,
2012,1979,56,0,2200,270,1000,2,744,5000,191744,
2014,1978,56,0,2200,270,1000,2,845,5000,188845,
2016,1979,56,0,2200,270,1000,2,845,5000,188845,
2016,1980,56,0,2200,270,1000,2,944,5000,184944,
2017,1977,56,0,2200,270,1000,2,944,5000,184944,
2019,1975,56,0,2200,270,1000,2,1041,5000,182041,
2021,1976,56,0,2200,270,1000,2,1041,5000,182041,
2022,2006,56,0,2200,270,1000,2,1041,5000,182041,
2024,2006,56,0,2200,270,1000,2,1137,5000,179137,
2025,1976,56,0,2200,270,1000,2,1137,5000,179137,
2025,1976,56,0,2200,270,1000,2,1137,5000,179137,
2026,1975,56,0,2200,270,1000,2,1231,5000,176231,
2028,1976,56,0,2200,270,1000,2,1231,5000,176231,
2029,1975,56,0,2200,270,1000,2,1323,5000,172323,
2031,1974,56,0,2200,270,1000,2,1323,5000,172323,
2031,1975,56,0,2200,270,1000,2,1323,5000,172323,
2032,1974,56,0,2200,270,1000,2,1414,5000,170414,
2033,1973,56,0,2200,270,1000,2,1414,5000,170414,
2035,1972,56,0,2200,270,1000,2,1503,5000,167503,
2037,1973,56,0,2200,270,1000,2,1503,5000,167503,
2037,1973,56,0,2200,270,1000,2,1503,5000,167503,
2037,1971,56,0,2200,270,1000,2,1591,5000,164591,
2039,1971,56,0,2200,270,1000,2,1591,5000,164591,
2040,1972,56,0,2200,270,1000,2,1677,5000,161677,
2042,1971,56,0,2200,270,1000,2,1677,5000,161677,
2043,1971,56,0,2200,270,1000,2,1677,5000,161677,
2046,1970,56,0,2200,270,1000,2,1761,5000,157761,
2047,1968,56,0,2200,270,1000,2,1761,5000,157761,
2049,1968,56,0,2200,270,1000,2,1843,5000,153843,
2047,1969,56,0,2200,270,1000,2,1843,5000,153843,
2051,1969,56,0,2200,270,1000,2,1843,5000,153843,
2050,1968,56,0,2200,270,1000,2,1923,5000,150923,
2050,1967,56,0,2200,270,1000,2,1923,5000,150923,
2052,1967,56,0,2200,270,1000,2,2003,5000,151003,
2053,1966,56,0,2200,270,1000,2,2003,5000,151003,
2055,1964,56,0,2200,270,1000,2,2003,5000,151003,
2055,1964,56,0,2200,270,1000,2,2081,5000,147081,
2057,1965,56,0,2200,270,1000,2,2081,5000,147081,
2058,1967,56,0,2200,270,1000,2,2081,5000,147081,
2058,1967,56,0,2200,270,1000,2,2157,5000,144157,
2058,1966,56,0,2200,270,1000,2,2157,5000,144157,
2060,1964,56,0,2200,270,1000,2,2233,5000,143233,
2061,1963,56,0,2200,270,1000,2,2233,5000,143233,
2061,1963,56,0,2200,270,1000,2,2233,5000,143233,
2061,1961,56,0,2200,270,1000,2,2308,5000,141308,
2063,1961,56,0,2200,270,1000,2,2308,5000,141308,
2065,1960,56,0,2200,270,1000,2,2381,5000,138381,
2067,1960,56,0,2200,270,1000,2,2381,5000,138381,
2067,1957,56,0,2200,270,1000,2,2381,5000,138381,
2068,1957,56,0,2200,270,1000,2,2452,5000,135452,
2069,1957,56,0,2200,270,1000,2,2452,5000,135452,
2071,1956,56,0,2200,270,1000,2,2521,5000,131521,
2070,1955,56,0,2200,270,1000,2,2521,5000,131521,
2071,1955,56,0,2200,270,1000,2,2521,5000,131521,
2072,1956,56,0,2200,270,1000,2,2590,5000,131590,
2074,1955,56,0,2200,270,1000,2,2590,5000,131590,
2075,1954,56,0,2200,270,1000,2,2657,5000,127657,
2075,1953,56,0,2200,270,1000,2,2657,5000,127657,
2076,1954,56,0,2200,270,1000,2,2657,5000,127657,
2075,1954,56,0,2200,270,1000,2,2723,5000,126723,
2076,1953,56,0,2200,270,1000,2,2723,5000,126723,
2078,1954,56,0,2200,270,1000,2,2788,5000,124788,
2079,1955,56,0,2200,270,1000,2,2788,5000,124788,
2080,1953,56,0,2200,270,1000,2,2788,5000,124788,
2081,1951,56,0,2200,270,1000,2,2852,5000,122852,
2084,1950,56,0,2200,270,1000,2,2852,5000,122852,
2085,1950,56,0,2200,270,1000,2,2914,5000,117914,
2085,1950,56,0,2200,270,1000,2,2914,5000,117914,
2086,1948,56,0,2200,270,1000,2,2914,5000,117914,
2085,1948,56,0,2200,270,1000,2,2975,5000,116975,
2086,1948,56,0,2200,270,1000,2,2975,5000,116975,
2087,1948,56,0,2200,270,1000,2,2975,5000,116975,
2088,1948,56,0,2200,270,1000,2,3036,5000,116036,
2089,1948,56,0,2200,270,1000,2,3036,5000,116036,
2091,1946,56,0,2200,270,1000,2,3094,5000,112094,
2092,1945,56,0,2200,270,1000,2,3094,5000,112094,
2092,1949,56,0,2200,270,1000,2,3094,5000,112094,
2093,1947,56,0,2200,270,1000,2,3152,5000,111152,
2095,1943,56,0,2200,270,1000,2,3152,5000,111152,
2095,1941,56,0,2200,270,1000,2,3208,5000,108208,
2095,1942,56,0,2200,270,1000,2,3208,5000,108208,
2097,1942,56,0,2200,270,1000,2,3208,5000,108208,
2098,1943,56,0,2200,270,1000,2,3263,5000,106263,
2097,1943,56,0,2200,270,1000,2,3263,5000,106263,
2099,1940,56,0,2200,270,1000,2,3318,5000,105318,
2100,1938,56,0,2200,270,1000,2,3318,5000,105318,
2101,1938,56,0,2200,270,1000,2,3318,5000,105318,
2101,1940,56,0,2200,270,1000,2,3371,5000,102371,
2101,1942,56,0,2200,270,1000,2,3371,5000,102371,
2101,1941,56,0,2200,270,1000,2,3371,5000,102371,
2103,1938,56,0,2200,270,1000,2,3424,5000,102424,
2103,1938,56,0,2200,270,1000,2,3424,5000,102424,
2105,1937,56,0,2200,270,1000,2,3475,5000,98475,
2107,1937,56,0,2200,270,1000,2,3475,5000,98475,
2108,1936,56,0,2200,270,1000,2,3475,5000,98475,
2109,1936,56,0,2200,270,1000,2,3524,5000,95524,
2108,1936,56,0,2200,270,1000,2,3524,5000,95524,
2109,1934,56,0,2200,270,1000,2,3573,5000,94573,
2109,1935,56,0,2200,270,1000,2,3573,5000,94573,
2110,1934,56,0,2200,270,1000,2,3573,5000,94573,
2113,1934,56,0,2200,270,1000,2,3621,5000,93621,
2113,1934,56,0,2200,270,1000,2,3621,5000,93621,
2114,1933,56,0,2200,270,1000,2,3666,5000,88666,
2114,1932,56,0,2200,270,1000,2,3666,5000,88666,
2115,1931,56,0,2200,270,1000,2,3666,5000,88666,
2115,1932,56,0,2200,270,1000,2,3712,5000,89712,
2115,1932,56,0,2200,270,1000,2,3712,5000,89712,
2116,1931,56,0,2200,270,1000,2,3712,5000,89712,
2115,1931,56,0,2200,270,1000,2,3757,5000,87757,
2115,1932,56,0,2200,270,1000,2,3757,5000,87757,
2119,1931,56,0,2200,270,1000,2,3802,5000,87802,
2120,1929,56,0,2200,270,1000,2,3802,5000,87802,
2120,1929,56,0,2200,270,1000,2,3802,5000,87802,
2123,1930,56,0,2200,270,1000,2,3845,5000,83845,
2124,1929,56,0,2200,270,1000,2,3845,5000,83845,
2124,1926,56,0,2200,270,1000,2,3885,5000,78885,
2125,1926,56,0,2200,270,1000,2,3885,5000,78885,
2124,1926,56,0,2200,270,1000,2,3885,5000,78885,
2125,1927,56,0,2200,270,1000,2,3926,5000,79926,
2126,1927,56,0,2200,270,1000,2,3926,5000,79926,
2127,1926,56,0,2200,270,1000,2,3965,5000,77965,
2127,1925,56,0,2200,270,1000,2,3965,5000,77965,
2128,1925,56,0,2200,270,1000,2,3965,5000,77965,
2129,1925,56,0,2200,270,1000,2,4003,5000,76003,
2130,1924,56,0,2200,270,1000,2,4003,5000,76003,
2130,1924,56,0,2200,270,1000,2,4040,5000,73040,
2131,1924,56,0,2200,270,1000,2,4040,5000,73040,
2131,1924,56,0,2200,270,1000,2,4040,5000,73040,
2133,1923,56,0,2200,270,1000,2,4076,5000,72076,
2133,1921,56,0,2200,270,1000,2,4076,5000,72076,
2134,1920,56,0,2200,270,1000,2,4111,5000,70111,
2135,1919,56,0,2200,270,1000,2,4111,5000,70111,
2135,1920,56,0,2200,270,1000,2,4111,5000,70111,
2136,1920,56,0,2200,270,1000,2,4146,5000,69146,
2137,1919,56,0,2200,270,1000,2,4146,5000,69146,
2138,1919,56,0,2200,270,1000,2,4179,5000,66179,
2138,1920,56,0,2200,270,1000,2,4179,5000,66179,
2138,1920,56,0,2200,270,1000,2,4179,5000,66179,
2139,1918,56,0,2200,270,1000,2,4211,5000,65211,
2140,1918,56,0,2200,270,1000,2,4211,5000,65211,
2142,1918,56,0,2200,270,1000,2,4211,5000,65211,
2143,1918,56,0,2200,270,1000,2,4242,5000,62242,
2143,1918,56,0,2200,270,1000,2,4242,5000,62242,
2144,1917,56,0,2200,270,1000,2,4272,5000,61272,
2144,1917,56,0,2200,270,1000,2,4272,5000,61272,
2144,1917,56,0,2200,270,1000,2,4272,5000,61272,
2144,1916,56,0,2200,270,1000,2,4302,5000,60302,
2145,1916,56,0,2200,270,1000,2,4302,5000,60302,
2146,1915,56,0,2200,270,1000,2,4331,5000,58331,
2146,1914,56,0,2200,270,1000,2,4331,5000,58331,
2147,1913,56,0,2200,270,1000,2,4331,5000,58331,
2149,1914,56,0,2200,270,1000,2,4359,5000,56359,
2150,1914,56,0,2200,270,1000,2,4359,5000,56359,
2152,1914,56,0,2200,270,1000,2,4384,5000,52384,
2152,1912,56,0,2200,270,1000,2,4384,5000,52384,
2152,1914,56,0,2200,270,1000,2,4384,5000,52384,
2152,1913,56,0,2200,270,1000,2,4409,5000,52409,
2152,1912,56,0,2200,270,1000,2,4409,5000,52409,
2152,1912,56,0,2200,270,1000,2,4434,5000,52434,
2154,1910,56,0,2200,270,1000,2,4434,5000,52434,
2154,1910,56,0,2200,270,1000,2,4434,5000,52434,
2154,1911,56,0,2200,270,1000,2,4458,5000,50458,
2155,1909,56,0,2200,270,1000,2,4458,5000,50458,
2156,1907,56,0,2200,270,1000,2,4481,5000,48481,
2156,1907,56,0,2200,270,1000,2,4481,5000,48481,
2157,1908,56,0,2200,270,1000,2,4481,5000,48481,
2158,1909,56,0,2200,270,1000,2,4503,5000,46503,
2159,1909,56,0,2200,270,1000,2,4503,5000,46503,
2160,1908,56,0,2200,270,1000,2,4524,5000,44524,
2160,1908,56,0,2200,270,1000,2,4524,5000,44524,
2162,1906,56,0,2200,270,1000,2,4524,5000,44524,
2161,1907,56,0,2200,270,1000,2,4545,5000,43545,
2162,1908,56,0,2200,270,1000,2,4545,5000,43545,
2162,1908,56,0,2200,270,1000,2,4545,5000,43545,
2164,1907,56,0,2200,270,1000,2,4565,5000,42565,
2163,1908,56,0,2200,270,1000,2,4565,5000,42565,
2164,1906,56,0,2200,270,1000,2,4584,5000,40584,
2166,1907,56,0,2200,270,1000,2,4584,5000,40584,
2168,1904,56,0,2200,270,1000,2,4584,5000,40584,
2167,1904,55,0,2200,270,1000,2,4601,5000,36601,
2167,1906,55,0,2200,270,1000,2,4601,5000,36601,
2167,1904,56,0,2200,270,1000,2,4618,5000,37618,
2168,1903,56,0,2200,270,1000,2,4618,5000,37618,
2168,1903,56,0,2200,270,1000,2,4618,5000,37618,
2167,1903,56,0,2200,270,1000,2,4635,5000,37635,
2169,1903,56,0,2200,270,1000,2,4635,5000,37635,
2171,1902,56,0,2200,270,1000,2,4635,5000,37635,
2172,1901,51,0,2200,270,1000,2,4650,5000,33650,
2173,1902,51,0,2200,270,1000,2,4650,5000,33650,
2174,1901,46,0,2200,270,1000,2,4664,5000,30664,
2175,1903,46,0,2200,270,1000,2,4664,5000,30664,
2175,1902,46,0,2200,270,1000,2,4664,5000,30664,
2175,1902,45,0,2200,270,1000,2,4677,5000,29677,
2174,1900,45,0,2200,270,1000,2,4677,5000,29677,
2174,1900,45,0,2200,270,1000,2,4690,5000,29690,
2175,1899,45,0,2200,270,1000,2,4690,5000,29690,
2175,1898,45,0,2200,270,1000,2,4690,5000,29690,
2177,1899,45,0,2200,270,1000,2,4703,5000,29703,
2178,1899,45,0,2200,270,1000,2,4703,5000,29703,
2178,1898,40,0,2200,270,1000,2,4714,5000,26714,
2177,1898,40,0,2200,270,1000,2,4714,5000,26714,
2178,1898,40,0,2200,270,1000,2,4714,5000,26714,
2180,1898,39,0,2200,270,1000,2,4725,5000,25725,
2179,1898,39,0,2200,270,1000,2,4725,5000,25725,
2179,1898,37,0,2200,270,1000,2,4735,5000,24735,
2180,1899,37,0,2200,270,1000,2,4735,5000,24735,
2180,1898,37,0,2200,270,1000,2,4735,5000,24735,
2180,1897,37,0,2200,270,1000,2,4745,5000,24745,
2181,1895,37,0,2200,270,1000,2,4745,5000,24745,
2182,1895,37,0,2200,270,1000,2,4745,5000,24745,
2183,1895,34,0,2200,270,1000,2,4754,5000,22754,
2183,1895,34,0,2200,270,1000,2,4754,5000,22754,
2182,1894,34,0,2200,270,1000,2,4763,5000,22763,
2182,1894,34,0,2200,270,1000,2,4763,5000,22763,
2183,1893,34,0,2200,270,1000,2,4763,5000,22763,
2184,1895,33,0,2200,270,1000,2,4772,5000,21772,
2184,1896,33,0,2200,270,1000,2,4772,5000,21772,
2182,1896,33,0,2200,270,1000,2,4781,5000,21781,
2183,1894,33,0,2200,270,1000,2,4781,5000,21781,
2184,1893,33,0,2200,270,1000,2,4781,5000,21781,
2184,1893,31,0,2200,270,1000,2,4789,5000,20789,
2183,1891,31,0,2200,270,1000,2,4789,5000,20789,
2184,1889,31,0,2200,270,1000,2,4797,5000,20797,
2184,1891,31,0,2200,270,1000,2,4797,5000,20797,
2185,1892,31,0,2200,270,1000,2,4797,5000,20797,
2185,1892,30,0,2200,270,1000,2,4805,5000,19805,
2184,1891,30,0,2200,270,1000,2,4805,5000,19805,
2185,1890,31,0,2200,270,1000,2,4813,5000,20813,
2185,1890,31,0,2200,270,1000,2,4813,5000,20813,
2185,1891,31,0,2200,270,1000,2,4813,5000,20813,
2185,1892,30,0,2200,270,1000,2,4821,5000,19821,
2185,1892,30,0,2200,270,1000,2,4821,5000,19821,
2186,1891,28,0,2200,270,1000,2,4828,5000,18828,
2185,1891,28,0,2200,270,1000,2,4828,5000,18828,
2184,1891,28,0,2200,270,1000,2,4828,5000,18828,
2185,1890,31,0,2200,270,1000,2,4836,5000,20836,
2185,1891,31,0,2200,270,1000,2,4836,5000,20836,
2186,1891,28,0,2200,270,1000,2,4843,5000,18843,
2186,1889,28,0,2200,270,1000,2,4843,5000,18843,
2185,1889,28,0,2200,270,1000,2,4843,5000,18843,
2185,1888,30,0,2200,270,1000,2,4851,5000,19851,
2185,1890,30,0,2200,270,1000,2,4851,5000,19851,
2183,1890,30,0,2200,270,1000,2,4851,5000,19851,
2183,1888,33,0,2200,270,1000,2,4860,5000,21860,
2147,1887,33,0,2200,270,1000,2,4860,5000,21860,
2148,1887,56,0,2200,270,1000,2,4888,5000,57888,
2149,1889,56,0,2200,270,1000,2,4888,5000,57888,
2187,1890,56,0,2200,270,1000,2,4888,5000,57888,
