RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidISum,RegPeltierPidISumMax,RegPeltierPidMv,
1998,1976,74,0,2500,270,1000,500,45000,45000,547000,
1998,1976,74,0,2500,270,1000,500,45000,45000,547000,
1999,1976,74,0,2500,270,1000,500,45000,45000,547000,
2001,1976,74,0,2500,270,1000,500,45000,45000,546000,
2000,1978,74,0,2500,270,1000,500,45000,45000,546000,
2001,1976,74,0,2500,270,1000,500,45000,45000,544000,
2001,1976,74,0,2500,270,1000,500,45000,45000,544000,
2001,1976,74,0,2500,270,1000,500,45000,45000,544000,
2002,1976,74,0,2500,270,1000,500,45000,45000,544000,
2003,1977,74,0,2500,270,1000,500,45000,45000,544000,
2004,1978,74,0,2500,270,1000,500,45000,45000,541000,
2005,1977,74,0,2500,270,1000,500,45000,45000,541000,
2006,1975,74,0,2500,270,1000,500,45000,45000,541000,
2007,1974,74,0,2500,270,1000,500,45000,45000,539000,
2009,1976,74,0,2500,270,1000,500,45000,45000,539000,
2010,1977,74,0,2500,270,1000,500,45000,45000,535000,
2013,1976,74,0,2500,270,1000,500,45000,45000,535000,
2015,1975,74,0,2500,270,1000,500,45000,45000,535000,
2017,1977,74,0,2500,270,1000,500,45000,45000,530000,
2018,1976,74,0,2500,270,1000,500,45000,45000,530000,
2020,1976,74,0,2500,270,1000,500,45000,45000,526000,
2022,1978,74,0,2500,270,1000,500,45000,45000,526000,
2024,1977,74,0,2500,270,1000,500,45000,45000,526000,
2025,1977,74,0,2500,270,1000,500,45000,45000,521000,
2028,1975,74,0,2500,270,1000,500,45000,45000,521000,
2029,1975,74,0,2500,270,1000,500,45000,45000,521000,
2031,1976,74,0,2500,270,1000,500,45000,45000,516000,
2032,1976,74,0,2500,270,1000,500,45000,45000,516000,
2033,1974,74,0,2500,270,1000,500,45000,45000,513000,
2036,1973,74,0,2500,270,1000,500,45000,45000,513000,
2038,1973,74,0,2500,270,1000,500,45000,45000,513000,
2040,1973,74,0,2500,270,1000,500,45000,45000,507000,
2041,1972,74,0,2500,270,1000,500,45000,45000,507000,
2042,1974,74,0,2500,270,1000,500,45000,45000,503000,
2044,1972,74,0,2500,270,1000,500,45000,45000,503000,
2046,1971,74,0,2500,270,1000,500,45000,45000,503000,
2047,1970,74,0,2500,270,1000,500,45000,45000,499000,
2049,1969,74,0,2500,270,1000,500,45000,45000,499000,
2051,1969,74,0,2500,270,1000,500,45000,45000,494000,
2053,1967,74,0,2500,270,1000,500,45000,45000,494000,
2055,1968,74,0,2500,270,1000,500,45000,45000,494000,
2056,1968,74,0,2500,270,1000,500,45000,45000,490000,
2058,1968,74,0,2500,270,1000,500,45000,45000,490000,
2059,1965,74,0,2500,270,1000,500,45000,45000,487000,
2060,1965,74,0,2500,270,1000,500,45000,45000,487000,
2061,1964,74,0,2500,270,1000,500,45000,45000,487000,
2063,1963,74,0,2500,270,1000,500,45000,45000,483000,
2064,1963,74,0,2500,270,1000,500,45000,45000,483000,
2067,1965,74,0,2500,270,1000,500,45000,45000,479000,
2067,1965,74,0,2500,270,1000,500,45000,45000,479000,
2069,1965,74,0,2500,270,1000,500,45000,45000,479000,
2070,1962,74,0,2500,270,1000,500,45000,45000,475000,
2072,1959,74,0,2500,270,1000,500,45000,45000,475000,
2073,1960,74,0,2500,270,1000,500,45000,45000,475000,
2074,1960,74,0,2500,270,1000,500,45000,45000,472000,
2076,1960,74,0,2500,270,1000,500,45000,45000,472000,
2077,1959,74,0,2500,270,1000,500,45000,45000,468000,
2079,1959,74,0,2500,270,1000,500,45000,45000,468000,
2081,1957,74,0,2500,270,1000,500,45000,45000,468000,
2082,1956,74,0,2500,270,1000,500,45000,45000,464000,
2083,1957,74,0,2500,270,1000,500,45000,45000,464000,
2085,1956,74,0,2500,270,1000,500,45000,45000,461000,
2086,1955,74,0,2500,270,1000,500,45000,45000,461000,
2087,1953,74,0,2500,270,1000,500,45000,45000,461000,
2088,1953,74,0,2500,270,1000,500,45000,45000,458000,
2090,1951,74,0,2500,270,1000,500,45000,45000,458000,
2091,1952,74,0,2500,270,1000,500,45000,45000,455000,
2092,1952,74,0,2500,270,1000,500,45000,45000,455000,
2093,1952,74,0,2500,270,1000,500,45000,45000,455000,
2094,1951,74,0,2500,270,1000,500,45000,45000,452000,
2096,1966,74,0,2500,270,1000,500,45000,45000,452000,
2097,1964,74,0,2500,270,1000,500,45000,45000,448000,
2098,1948,74,0,2500,270,1000,500,45000,45000,448000,
2099,1947,74,0,2500,270,1000,500,45000,45000,448000,
2101,1945,74,0,2500,270,1000,500,45000,45000,445000,
2102,1943,74,0,2500,270,1000,500,45000,45000,445000,
2103,1945,74,0,2500,270,1000,500,45000,45000,442000,
2104,1945,74,0,2500,270,1000,500,45000,45000,442000,
2105,1944,74,0,2500,270,1000,500,45000,45000,442000,
2106,1943,74,0,2500,270,1000,500,45000,45000,440000,
2108,1943,74,0,2500,270,1000,500,45000,45000,440000,
2109,1943,74,0,2500,270,1000,500,45000,45000,440000,
2110,1941,74,0,2500,270,1000,500,45000,45000,436000,
2111,1941,74,0,2500,270,1000,500,45000,45000,436000,
2113,1941,74,0,2500,270,1000,500,45000,45000,433000,
2114,1939,74,0,2500,270,1000,500,45000,45000,433000,
2115,1938,74,0,2500,270,1000,500,45000,45000,433000,
2117,1937,74,0,2500,270,1000,500,45000,45000,430000,
2117,1936,74,0,2500,270,1000,500,45000,45000,430000,
2118,1935,74,0,2500,270,1000,500,45000,45000,427000,
2119,1934,74,0,2500,270,1000,500,45000,45000,427000,
2120,1934,74,0,2500,270,1000,500,45000,45000,427000,
2121,1934,74,0,2500,270,1000,500,45000,45000,425000,
2123,1930,74,0,2500,270,1000,500,45000,45000,425000,
2125,1929,74,0,2500,270,1000,500,45000,45000,420000,
2126,1931,74,0,2500,270,1000,500,45000,45000,420000,
2126,1932,74,0,2500,270,1000,500,45000,45000,420000,
2127,1933,74,0,2500,270,1000,500,45000,45000,418000,
2129,1929,74,0,2500,270,1000,500,45000,45000,418000,
2130,1928,74,0,2500,270,1000,500,45000,45000,415000,
2131,1929,74,0,2500,270,1000,500,45000,45000,415000,
2132,1929,74,0,2500,270,1000,500,45000,45000,415000,
2133,1926,74,0,2500,270,1000,500,45000,45000,413000,
2134,1925,74,0,2500,270,1000,500,45000,45000,413000,
2135,1923,74,0,2500,270,1000,500,45000,45000,410000,
2136,1923,74,0,2500,270,1000,500,45000,45000,410000,
2137,1925,74,0,2500,270,1000,500,45000,45000,410000,
2138,1925,74,0,2500,270,1000,500,45000,45000,408000,
2140,1924,74,0,2500,270,1000,500,45000,45000,408000,
2140,1923,74,0,2500,270,1000,500,45000,45000,408000,
