RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidKd,
2007,2068,56,0,2200,270,500,0,0,
2008,2068,56,0,2200,270,500,0,0,
2008,2067,56,0,2200,270,500,0,0,
2007,2066,56,0,2200,270,500,0,0,
2006,2067,56,0,2200,270,500,0,0,
2006,2069,56,0,2200,270,500,0,0,
2007,2070,56,0,2200,270,500,0,0,
2008,2070,56,0,2200,270,500,0,0,
2008,2069,56,0,2200,270,500,0,0,
2009,2070,56,0,2200,270,500,0,0,
2011,2068,56,0,2200,270,500,0,0,
2014,2069,56,0,2200,270,500,0,0,
2013,2068,56,0,2200,270,500,0,0,
2014,2068,56,0,2200,270,500,0,0,
2015,2068,56,0,2200,270,500,0,0,
2018,2069,56,0,2200,270,500,0,0,
2020,2069,56,0,2200,270,500,0,0,
2022,2069,56,0,2200,270,500,0,0,
2022,2068,56,0,2200,270,500,0,0,
2024,2068,56,0,2200,270,500,0,0,
2025,2067,56,0,2200,270,500,0,0,
2027,2066,56,0,2200,270,500,0,0,
2028,2066,56,0,2200,270,500,0,0,
2031,2067,56,0,2200,270,500,0,0,
2033,2066,56,0,2200,270,500,0,0,
2034,2066,56,0,2200,270,500,0,0,
2035,2066,56,0,2200,270,500,0,0,
2037,2066,56,0,2200,270,500,0,0,
2038,2097,56,0,2200,270,500,0,0,
2040,2097,56,0,2200,270,500,0,0,
2040,2095,56,0,2200,270,500,0,0,
2042,2064,56,0,2200,270,500,0,0,
2043,2064,56,0,2200,270,500,0,0,
2045,2063,56,0,2200,270,500,0,0,
2046,2062,56,0,2200,270,500,0,0,
2048,2062,56,0,2200,270,500,0,0,
2050,2060,56,0,2200,270,500,0,0,
2051,2061,56,0,2200,270,500,0,0,
2054,2062,56,0,2200,270,500,0,0,
2056,2063,56,0,2200,270,500,0,0,
2057,2061,56,0,2200,270,500,0,0,
2058,2059,56,0,2200,270,500,0,0,
2059,2057,56,0,2200,270,500,0,0,
2061,2057,56,0,2200,270,500,0,0,
2062,2058,56,0,2200,270,500,0,0,
2064,2059,56,0,2200,270,500,0,0,
2064,2060,56,0,2200,270,500,0,0,
2065,2058,56,0,2200,270,500,0,0,
2066,2057,56,0,2200,270,500,0,0,
2068,2057,56,0,2200,270,500,0,0,
2069,2056,56,0,2200,270,500,0,0,
2071,2055,56,0,2200,270,500,0,0,
