RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidISum,RegPeltierPidISumMax,RegPeltierPidMv,
1999,1971,1,0,2200,270,1000,10,-1792,5000,1208,
1999,1971,56,0,2200,270,1000,10,542,5000,201542,
1999,1970,56,0,2200,270,1000,10,542,5000,201542,
2014,1969,56,0,2200,270,1000,10,1044,5000,187044,
2014,1968,56,0,2200,270,1000,10,1044,5000,187044,
2014,1970,56,0,2200,270,1000,10,1044,5000,187044,
1999,1970,56,0,2200,270,1000,10,1586,5000,202586,
2000,1969,56,0,2200,270,1000,10,1586,5000,202586,
2002,1969,56,0,2200,270,1000,10,1586,5000,202586,
2001,1970,56,0,2200,270,1000,10,2120,5000,200120,
2002,1970,56,0,2200,270,1000,10,2120,5000,200120,
2002,1968,56,0,2200,270,1000,10,2654,5000,200654,
2003,1969,56,0,2200,270,1000,10,2654,5000,200654,
2004,1971,56,0,2200,270,1000,10,2654,5000,200654,
2006,1971,56,0,2200,270,1000,10,3183,5000,199183,
2008,1971,56,0,2200,270,1000,10,3183,5000,199183,
2008,1972,56,0,2200,270,1000,10,3701,5000,195701,
2009,1971,56,0,2200,270,1000,10,3701,5000,195701,
2011,1969,56,0,2200,270,1000,10,3701,5000,195701,
2013,1969,56,0,2200,270,1000,10,4211,5000,193211,
2013,1971,56,0,2200,270,1000,10,4211,5000,193211,
2015,1972,56,0,2200,270,1000,10,4710,5000,189710,
2016,1972,56,0,2200,270,1000,10,4710,5000,189710,
2017,1971,56,0,2200,270,1000,10,4710,5000,189710,
2018,1970,56,0,2200,270,1000,10,5000,5000,188000,
2020,1971,56,0,2200,270,1000,10,5000,5000,188000,
2021,1970,56,0,2200,270,1000,10,5000,5000,184000,
2022,1971,56,0,2200,270,1000,10,5000,5000,184000,
2023,1970,56,0,2200,270,1000,10,5000,5000,184000,
2025,1971,56,0,2200,270,1000,10,5000,5000,181000,
2026,1970,56,0,2200,270,1000,10,5000,5000,181000,
2028,1969,56,0,2200,270,1000,10,5000,5000,181000,
2029,1968,56,0,2200,270,1000,10,5000,5000,177000,
2031,1969,56,0,2200,270,1000,10,5000,5000,177000,
2032,1969,56,0,2200,270,1000,10,5000,5000,174000,
2032,1968,56,0,2200,270,1000,10,5000,5000,174000,
2032,1966,56,0,2200,270,1000,10,5000,5000,174000,
2034,1967,56,0,2200,270,1000,10,5000,5000,173000,
2035,1967,56,0,2200,270,1000,10,5000,5000,173000,
2036,1966,56,0,2200,270,1000,10,5000,5000,169000,
2037,1965,56,0,2200,270,1000,10,5000,5000,169000,
2039,1965,56,0,2200,270,1000,10,5000,5000,169000,
2041,1964,56,0,2200,270,1000,10,5000,5000,165000,
2042,1964,56,0,2200,270,1000,10,5000,5000,165000,
2043,1964,56,0,2200,270,1000,10,5000,5000,162000,
2045,1964,56,0,2200,270,1000,10,5000,5000,162000,
2047,1963,56,0,2200,270,1000,10,5000,5000,162000,
2048,1963,56,0,2200,270,1000,10,5000,5000,158000,
2050,1963,56,0,2200,270,1000,10,5000,5000,158000,
2050,1961,56,0,2200,270,1000,10,5000,5000,155000,
2052,1961,56,0,2200,270,1000,10,5000,5000,155000,
2053,1960,56,0,2200,270,1000,10,5000,5000,155000,
2054,1961,56,0,2200,270,1000,10,5000,5000,152000,
2053,1960,56,0,2200,270,1000,10,5000,5000,152000,
2054,1960,56,0,2200,270,1000,10,5000,5000,152000,
2055,1961,56,0,2200,270,1000,10,5000,5000,151000,
2055,1958,56,0,2200,270,1000,10,5000,5000,151000,
2057,1957,56,0,2200,270,1000,10,5000,5000,149000,
2058,1958,56,0,2200,270,1000,10,5000,5000,149000,
2059,1958,56,0,2200,270,1000,10,5000,5000,149000,
2061,1957,56,0,2200,270,1000,10,5000,5000,146000,
2062,1956,56,0,2200,270,1000,10,5000,5000,146000,
2063,1956,56,0,2200,270,1000,10,5000,5000,143000,
2063,1954,56,0,2200,270,1000,10,5000,5000,143000,
2064,1955,56,0,2200,270,1000,10,5000,5000,143000,
2066,1955,56,0,2200,270,1000,10,5000,5000,141000,
2068,1955,56,0,2200,270,1000,10,5000,5000,141000,
2069,1953,56,0,2200,270,1000,10,5000,5000,136000,
2069,1953,56,0,2200,270,1000,10,5000,5000,136000,
2070,1952,56,0,2200,270,1000,10,5000,5000,136000,
2070,1954,56,0,2200,270,1000,10,5000,5000,135000,
2073,1952,56,0,2200,270,1000,10,5000,5000,135000,
2073,1951,56,0,2200,270,1000,10,5000,5000,133000,
2072,1949,56,0,2200,270,1000,10,5000,5000,133000,
2074,1949,56,0,2200,270,1000,10,5000,5000,133000,
2074,1950,56,0,2200,270,1000,10,5000,5000,131000,
2075,1949,56,0,2200,270,1000,10,5000,5000,131000,
2075,1949,56,0,2200,270,1000,10,5000,5000,129000,
2077,1947,56,0,2200,270,1000,10,5000,5000,129000,
2078,1948,56,0,2200,270,1000,10,5000,5000,129000,
2079,1947,56,0,2200,270,1000,10,5000,5000,126000,
2080,1945,56,0,2200,270,1000,10,5000,5000,126000,
2080,1945,56,0,2200,270,1000,10,5000,5000,125000,
2080,1945,56,0,2200,270,1000,10,5000,5000,125000,
2083,1945,56,0,2200,270,1000,10,5000,5000,125000,
2084,1944,56,0,2200,270,1000,10,5000,5000,121000,
2084,1944,56,0,2200,270,1000,10,5000,5000,121000,
2084,1943,56,0,2200,270,1000,10,5000,5000,121000,
2084,1943,56,0,2200,270,1000,10,5000,5000,121000,
2086,1940,56,0,2200,270,1000,10,5000,5000,121000,
2086,1941,56,0,2200,270,1000,10,5000,5000,119000,
2088,1941,56,0,2200,270,1000,10,5000,5000,119000,
2089,1941,56,0,2200,270,1000,10,5000,5000,119000,
2090,1940,56,0,2200,270,1000,10,5000,5000,116000,
2092,1939,56,0,2200,270,1000,10,5000,5000,116000,
2093,1938,56,0,2200,270,1000,10,5000,5000,112000,
2093,1938,56,0,2200,270,1000,10,5000,5000,112000,
