RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidISum,RegPeltierPidISumMax,RegPeltierPidMv,
1999,1877,7,0,1400,270,1000,500,4085,40000,5085,
2000,1878,25,1,1400,270,1000,500,-40000,40000,-573465,
2001,1880,25,1,1400,270,1000,500,-40000,40000,-573465,
2001,1879,25,1,1400,270,1000,500,-40000,40000,-575465,
2000,1877,25,1,1400,270,1000,500,-40000,40000,-575465,
1999,1876,25,1,1400,270,1000,500,-40000,40000,-575465,
1999,1875,25,1,1400,270,1000,500,-40000,40000,-573465,
1998,1877,25,1,1400,270,1000,500,-40000,40000,-573465,
1997,1878,25,1,1400,270,1000,500,-40000,40000,-571465,
1996,1879,25,1,1400,270,1000,500,-40000,40000,-571465,
1994,1879,25,1,1400,270,1000,500,-40000,40000,-571465,
1992,1879,25,1,1400,270,1000,500,-40000,40000,-567465,
1990,1879,25,1,1400,270,1000,500,-40000,40000,-567465,
1988,1880,25,1,1400,270,1000,500,-40000,40000,-563465,
1986,1879,25,1,1400,270,1000,500,-40000,40000,-563465,
1981,1879,25,1,1400,270,1000,500,-40000,40000,-563465,
1979,1879,25,1,1400,270,1000,500,-40000,40000,-554465,
1979,1879,25,1,1400,270,1000,500,-40000,40000,-554465,
1977,1879,25,1,1400,270,1000,500,-40000,40000,-554465,
1969,1881,25,1,1400,270,1000,500,-40000,40000,-551465,
1966,1883,25,1,1400,270,1000,500,-40000,40000,-551465,
1962,1881,25,1,1400,270,1000,500,-40000,40000,-538465,
1959,1883,25,1,1400,270,1000,500,-40000,40000,-538465,
1956,1881,25,1,1400,270,1000,500,-40000,40000,-538465,
1953,1881,25,1,1400,270,1000,500,-40000,40000,-530465,
1948,1879,25,1,1400,270,1000,500,-40000,40000,-530465,
1945,1879,25,1,1400,270,1000,500,-40000,40000,-520465,
1942,1881,25,1,1400,270,1000,500,-40000,40000,-520465,
1939,1882,25,1,1400,270,1000,500,-40000,40000,-520465,
1936,1882,25,1,1400,270,1000,500,-40000,40000,-513465,
1932,1882,25,1,1400,270,1000,500,-40000,40000,-513465,
1929,1883,25,1,1400,270,1000,500,-40000,40000,-504465,
1926,1885,25,1,1400,270,1000,500,-40000,40000,-504465,
1923,1886,25,1,1400,270,1000,500,-40000,40000,-504465,
1919,1886,25,1,1400,270,1000,500,-40000,40000,-497465,
1916,1886,25,1,1400,270,1000,500,-40000,40000,-497465,
1914,1886,25,1,1400,270,1000,500,-40000,40000,-487465,
1912,1885,25,1,1400,270,1000,500,-40000,40000,-487465,
1909,1885,25,1,1400,270,1000,500,-40000,40000,-487465,
1905,1885,25,1,1400,270,1000,500,-40000,40000,-482465,
1900,1888,25,1,1400,270,1000,500,-40000,40000,-482465,
1897,1887,25,1,1400,270,1000,500,-40000,40000,-471465,
1894,1887,25,1,1400,270,1000,500,-40000,40000,-471465,
1891,1887,25,1,1400,270,1000,500,-40000,40000,-471465,
1889,1887,25,1,1400,270,1000,500,-40000,40000,-465465,
1886,1887,25,1,1400,270,1000,500,-40000,40000,-465465,
1884,1889,25,1,1400,270,1000,500,-40000,40000,-465465,
1882,1890,25,1,1400,270,1000,500,-40000,40000,-458465,
1879,1889,25,1,1400,270,1000,500,-40000,40000,-458465,
1874,1890,25,1,1400,270,1000,500,-40000,40000,-451465,
1871,1891,25,1,1400,270,1000,500,-40000,40000,-451465,
1868,1892,25,1,1400,270,1000,500,-40000,40000,-451465,
1867,1892,25,1,1400,270,1000,500,-40000,40000,-442465,
1864,1893,25,1,1400,270,1000,500,-40000,40000,-442465,
1860,1894,25,1,1400,270,1000,500,-40000,40000,-436465,
1858,1894,25,1,1400,270,1000,500,-40000,40000,-436465,
1856,1895,25,1,1400,270,1000,500,-40000,40000,-436465,
1854,1895,25,1,1400,270,1000,500,-40000,40000,-430465,
1850,1896,25,1,1400,270,1000,500,-40000,40000,-430465,
1847,1897,25,1,1400,270,1000,500,-40000,40000,-422465,
1845,1897,25,1,1400,270,1000,500,-40000,40000,-422465,
1844,1897,25,1,1400,270,1000,500,-40000,40000,-422465,
1841,1897,25,1,1400,270,1000,500,-40000,40000,-417465,
1839,1899,25,1,1400,270,1000,500,-40000,40000,-417465,
1835,1900,25,1,1400,270,1000,500,-40000,40000,-410465,
1832,1902,25,1,1400,270,1000,500,-40000,40000,-410465,
1830,1900,25,1,1400,270,1000,500,-40000,40000,-410465,
1829,1899,25,1,1400,270,1000,500,-40000,40000,-404465,
1826,1899,25,1,1400,270,1000,500,-40000,40000,-404465,
1822,1900,25,1,1400,270,1000,500,-40000,40000,-397465,
1820,1901,25,1,1400,270,1000,500,-40000,40000,-397465,
1819,1901,25,1,1400,270,1000,500,-40000,40000,-397465,
1816,1900,25,1,1400,270,1000,500,-40000,40000,-392465,
1813,1901,25,1,1400,270,1000,500,-40000,40000,-392465,
1811,1902,25,1,1400,270,1000,500,-40000,40000,-392465,
1809,1904,25,1,1400,270,1000,500,-40000,40000,-385465,
1806,1904,25,1,1400,270,1000,500,-40000,40000,-385465,
1804,1904,25,1,1400,270,1000,500,-40000,40000,-379465,
1803,1905,25,1,1400,270,1000,500,-40000,40000,-379465,
1800,1908,25,1,1400,270,1000,500,-40000,40000,-379465,
1798,1908,25,1,1400,270,1000,500,-40000,40000,-374465,
1795,1908,25,1,1400,270,1000,500,-40000,40000,-374465,
1793,1908,25,1,1400,270,1000,500,-40000,40000,-368465,
1791,1909,25,1,1400,270,1000,500,-40000,40000,-368465,
1789,1909,25,1,1400,270,1000,500,-40000,40000,-368465,
1785,1908,25,1,1400,270,1000,500,-40000,40000,-362465,
1784,1908,25,1,1400,270,1000,500,-40000,40000,-362465,
1782,1909,25,1,1400,270,1000,500,-40000,40000,-357465,
1781,1911,25,1,1400,270,1000,500,-40000,40000,-357465,
1777,1910,25,1,1400,270,1000,500,-40000,40000,-357465,
1774,1913,25,1,1400,270,1000,500,-40000,40000,-350465,
1773,1914,25,1,1400,270,1000,500,-40000,40000,-350465,
1770,1913,25,1,1400,270,1000,500,-40000,40000,-345465,
1768,1911,25,1,1400,270,1000,500,-40000,40000,-345465,
1765,1913,25,1,1400,270,1000,500,-40000,40000,-345465,
1764,1915,25,1,1400,270,1000,500,-40000,40000,-339465,
1762,1915,25,1,1400,270,1000,500,-40000,40000,-339465,
1760,1915,25,1,1400,270,1000,500,-40000,40000,-339465,
1758,1915,25,1,1400,270,1000,500,-40000,40000,-334465,
1756,1913,25,1,1400,270,1000,500,-40000,40000,-334465,
1754,1915,25,1,1400,270,1000,500,-40000,40000,-329465,
1753,1917,25,1,1400,270,1000,500,-40000,40000,-329465,
1750,1921,25,1,1400,270,1000,500,-40000,40000,-329465,
1747,1919,25,1,1400,270,1000,500,-40000,40000,-324465,
1745,1916,25,1,1400,270,1000,500,-40000,40000,-324465,
1745,1914,25,1,1400,270,1000,500,-40000,40000,-319465,
1743,1918,25,1,1400,270,1000,500,-40000,40000,-319465,
1740,1919,25,1,1400,270,1000,500,-40000,40000,-319465,
1738,1919,25,1,1400,270,1000,500,-40000,40000,-314465,
1736,1919,25,1,1400,270,1000,500,-40000,40000,-314465,
1733,1918,25,1,1400,270,1000,500,-40000,40000,-308465,
1732,1917,25,1,1400,270,1000,500,-40000,40000,-308465,
1730,1918,25,1,1400,270,1000,500,-40000,40000,-308465,
1727,1923,25,1,1400,270,1000,500,-40000,40000,-303465,
1726,1923,25,1,1400,270,1000,500,-40000,40000,-303465,
1724,1923,25,1,1400,270,1000,500,-40000,40000,-298465,
1723,1922,25,1,1400,270,1000,500,-40000,40000,-298465,
1721,1923,25,1,1400,270,1000,500,-40000,40000,-298465,
1718,1925,25,1,1400,270,1000,500,-40000,40000,-294465,
1716,1925,25,1,1400,270,1000,500,-40000,40000,-294465,
1714,1923,25,1,1400,270,1000,500,-40000,40000,-294465,
1712,1922,25,1,1400,270,1000,500,-40000,40000,-288465,
1710,1923,25,1,1400,270,1000,500,-40000,40000,-288465,
