RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidISum,RegPeltierPidISumMax,RegPeltierPidMv,
2000,2011,56,0,2200,270,1000,1000,30000,30000,231000,
2001,2011,56,0,2200,270,1000,1000,30000,30000,231000,
2002,2009,56,0,2200,270,1000,1000,30000,30000,229000,
2003,2008,56,0,2200,270,1000,1000,30000,30000,229000,
2005,2009,56,0,2200,270,1000,1000,30000,30000,225000,
2006,2009,56,0,2200,270,1000,1000,30000,30000,225000,
2008,2009,56,0,2200,270,1000,1000,30000,30000,225000,
1997,2009,56,0,2200,270,1000,1000,30000,30000,223000,
1998,2007,56,0,2200,270,1000,1000,30000,30000,223000,
1999,2006,56,0,2200,270,1000,1000,30000,30000,231000,
2012,2006,56,0,2200,270,1000,1000,30000,30000,231000,
2013,2007,56,0,2200,270,1000,1000,30000,30000,231000,
2016,2009,56,0,2200,270,1000,1000,30000,30000,215000,
2017,2008,56,0,2200,270,1000,1000,30000,30000,215000,
2019,2009,56,0,2200,270,1000,1000,30000,30000,215000,
2019,2009,56,0,2200,270,1000,1000,30000,30000,211000,
2020,2009,56,0,2200,270,1000,1000,30000,30000,211000,
2031,2007,56,0,2200,270,1000,1000,30000,30000,199000,
2032,2007,56,0,2200,270,1000,1000,30000,30000,199000,
2023,2006,56,0,2200,270,1000,1000,30000,30000,199000,
2026,2004,56,0,2200,270,1000,1000,30000,30000,207000,
2027,2004,56,0,2200,270,1000,1000,30000,30000,207000,
2036,2005,56,0,2200,270,1000,1000,30000,30000,194000,
2036,2004,56,0,2200,270,1000,1000,30000,30000,194000,
2030,2005,56,0,2200,270,1000,1000,30000,30000,194000,
2032,2004,56,0,2200,270,1000,1000,30000,30000,200000,
2034,2006,56,0,2200,270,1000,1000,30000,30000,200000,
2035,2004,56,0,2200,270,1000,1000,30000,30000,196000,
2035,2004,56,0,2200,270,1000,1000,30000,30000,196000,
2036,2003,56,0,2200,270,1000,1000,30000,30000,196000,
2038,2004,56,0,2200,270,1000,1000,30000,30000,193000,
2039,2003,56,0,2200,270,1000,1000,30000,30000,193000,
2040,2002,56,0,2200,270,1000,1000,30000,30000,190000,
2041,2002,56,0,2200,270,1000,1000,30000,30000,190000,
2042,2001,56,0,2200,270,1000,1000,30000,30000,190000,
2042,2000,56,0,2200,270,1000,1000,30000,30000,188000,
2044,1999,56,0,2200,270,1000,1000,30000,30000,188000,
2045,1999,56,0,2200,270,1000,1000,30000,30000,188000,
2047,1999,56,0,2200,270,1000,1000,30000,30000,185000,
2048,1998,56,0,2200,270,1000,1000,30000,30000,185000,
2049,1998,56,0,2200,270,1000,1000,30000,30000,181000,
2051,1998,56,0,2200,270,1000,1000,30000,30000,181000,
2052,2000,56,0,2200,270,1000,1000,30000,30000,181000,
2053,1999,56,0,2200,270,1000,1000,30000,30000,178000,
2055,1999,56,0,2200,270,1000,1000,30000,30000,178000,
2056,1997,56,0,2200,270,1000,1000,30000,30000,175000,
2064,1994,56,0,2200,270,1000,1000,30000,30000,175000,
2064,1994,56,0,2200,270,1000,1000,30000,30000,175000,
2058,1996,56,0,2200,270,1000,1000,30000,30000,166000,
2061,1996,56,0,2200,270,1000,1000,30000,30000,166000,
2061,1996,56,0,2200,270,1000,1000,30000,30000,169000,
2061,1994,56,0,2200,270,1000,1000,30000,30000,169000,
2062,1993,56,0,2200,270,1000,1000,30000,30000,169000,
2063,1992,56,0,2200,270,1000,1000,30000,30000,168000,
2065,1991,56,0,2200,270,1000,1000,30000,30000,168000,
2065,1991,56,0,2200,270,1000,1000,30000,30000,165000,
2067,1991,56,0,2200,270,1000,1000,30000,30000,165000,
2067,1991,56,0,2200,270,1000,1000,30000,30000,165000,
2068,1991,56,0,2200,270,1000,1000,30000,30000,162000,
2069,1991,56,0,2200,270,1000,1000,30000,30000,162000,
2069,1989,56,0,2200,270,1000,1000,30000,30000,161000,
2072,1987,56,0,2200,270,1000,1000,30000,30000,161000,
2072,1988,56,0,2200,270,1000,1000,30000,30000,161000,
2074,1988,56,0,2200,270,1000,1000,30000,30000,157000,
2075,1989,56,0,2200,270,1000,1000,30000,30000,157000,
2074,1989,56,0,2200,270,1000,1000,30000,30000,156000,
2075,1987,56,0,2200,270,1000,1000,30000,30000,156000,
2077,1985,56,0,2200,270,1000,1000,30000,30000,156000,
2077,1985,56,0,2200,270,1000,1000,30000,30000,153000,
2078,1984,56,0,2200,270,1000,1000,30000,30000,153000,
2078,1987,56,0,2200,270,1000,1000,30000,30000,153000,
2081,1987,56,0,2200,270,1000,1000,30000,30000,152000,
2082,1986,56,0,2200,270,1000,1000,30000,30000,152000,
2083,1986,56,0,2200,270,1000,1000,30000,30000,148000,
2084,1985,56,0,2200,270,1000,1000,30000,30000,148000,
2084,1983,56,0,2200,270,1000,1000,30000,30000,148000,
2084,1983,56,0,2200,270,1000,1000,30000,30000,146000,
2086,1981,56,0,2200,270,1000,1000,30000,30000,146000,
2087,1981,56,0,2200,270,1000,1000,30000,30000,144000,
2088,1981,56,0,2200,270,1000,1000,30000,30000,144000,
2089,1982,56,0,2200,270,1000,1000,30000,30000,144000,
2089,1981,56,0,2200,270,1000,1000,30000,30000,142000,
2090,1981,56,0,2200,270,1000,1000,30000,30000,142000,
2092,1980,56,0,2200,270,1000,1000,30000,30000,139000,
2092,1978,56,0,2200,270,1000,1000,30000,30000,139000,
2093,1978,56,0,2200,270,1000,1000,30000,30000,139000,
2093,1979,56,0,2200,270,1000,1000,30000,30000,137000,
2095,1979,56,0,2200,270,1000,1000,30000,30000,137000,
2097,1978,56,0,2200,270,1000,1000,30000,30000,133000,
2097,1977,56,0,2200,270,1000,1000,30000,30000,133000,
2097,1976,56,0,2200,270,1000,1000,30000,30000,133000,
2099,1976,56,0,2200,270,1000,1000,30000,30000,133000,
2100,1977,56,0,2200,270,1000,1000,30000,30000,133000,
2101,1977,56,0,2200,270,1000,1000,30000,30000,133000,
2101,1976,56,0,2200,270,1000,1000,30000,30000,129000,
2103,1975,56,0,2200,270,1000,1000,30000,30000,129000,
2103,1974,56,0,2200,270,1000,1000,30000,30000,127000,
2104,1974,56,0,2200,270,1000,1000,30000,30000,127000,
2105,1973,56,0,2200,270,1000,1000,30000,30000,127000,
2105,1973,56,0,2200,270,1000,1000,30000,30000,125000,
2106,1971,56,0,2200,270,1000,1000,30000,30000,125000,
2106,1971,56,0,2200,270,1000,1000,30000,30000,125000,
2107,1971,56,0,2200,270,1000,1000,30000,30000,125000,
2108,1972,56,0,2200,270,1000,1000,30000,30000,125000,
2109,1971,56,0,2200,270,1000,1000,30000,30000,122000,
2111,1970,56,0,2200,270,1000,1000,30000,30000,122000,
2112,1970,56,0,2200,270,1000,1000,30000,30000,119000,
2112,1970,56,0,2200,270,1000,1000,30000,30000,119000,
2121,1971,56,0,2200,270,1000,1000,30000,30000,119000,
2122,1971,56,0,2200,270,1000,1000,30000,30000,108000,
2113,1969,56,0,2200,270,1000,1000,30000,30000,108000,
2114,1967,56,0,2200,270,1000,1000,30000,30000,116000,
2115,1967,56,0,2200,270,1000,1000,30000,30000,116000,
