RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidISum,RegPeltierPidISumMax,RegPeltierPidMv,
1979,1953,99,1,2200,270,1000,10,-20545,40000,64990,
1979,1953,56,0,2200,270,1000,10,596,40000,221596,
1980,1953,56,0,2200,270,1000,10,596,40000,221596,
1981,1952,56,0,2200,270,1000,10,1187,40000,220187,
1981,1952,56,0,2200,270,1000,10,1187,40000,220187,
1976,1951,56,0,2200,270,1000,10,1187,40000,220187,
1976,1952,56,0,2200,270,1000,10,1791,40000,225791,
1981,1953,56,0,2200,270,1000,10,1791,40000,225791,
1981,1953,56,0,2200,270,1000,10,1791,40000,221382,
1983,1954,56,0,2200,270,1000,10,2382,40000,221382,
1983,1954,56,0,2200,270,1000,10,2382,40000,221382,
1984,1955,56,0,2200,270,1000,10,2967,40000,219967,
1984,1955,56,0,2200,270,1000,10,2967,40000,219967,
1986,1955,56,0,2200,270,1000,10,3544,40000,217544,
1988,1955,56,0,2200,270,1000,10,3544,40000,217544,
1989,1956,56,0,2200,270,1000,10,3544,40000,217544,
1990,1955,56,0,2200,270,1000,10,4111,40000,214111,
1992,1954,56,0,2200,270,1000,10,4111,40000,214111,
1993,1955,56,0,2200,270,1000,10,4111,40000,214111,
1993,1954,56,0,2200,270,1000,10,4669,40000,211669,
1995,1952,56,0,2200,270,1000,10,4669,40000,211669,
1996,1953,56,0,2200,270,1000,10,5222,40000,210222,
1997,1955,56,0,2200,270,1000,10,5222,40000,210222,
1999,1955,56,0,2200,270,1000,10,5222,40000,210222,
2000,1954,56,0,2200,270,1000,10,5764,40000,206764,
2002,1953,56,0,2200,270,1000,10,5764,40000,206764,
2004,1954,56,0,2200,270,1000,10,6293,40000,202293,
2004,1953,56,0,2200,270,1000,10,6293,40000,202293,
2005,1954,56,0,2200,270,1000,10,6293,40000,202293,
2006,1953,56,0,2200,270,1000,10,6819,40000,201819,
2009,1952,56,0,2200,270,1000,10,6819,40000,201819,
2010,1952,56,0,2200,270,1000,10,6819,40000,201819,
2011,1952,56,0,2200,270,1000,10,7332,40000,197332,
2011,1951,56,0,2200,270,1000,10,7332,40000,197332,
2013,1951,56,0,2200,270,1000,10,7839,40000,195839,
2013,1951,56,0,2200,270,1000,10,7839,40000,195839,
2014,1952,56,0,2200,270,1000,10,7839,40000,195839,
2016,1950,56,0,2200,270,1000,10,8341,40000,194341,
2018,1950,56,0,2200,270,1000,10,8341,40000,194341,
2019,1958,56,0,2200,270,1000,10,8829,40000,189829,
2021,1948,56,0,2200,270,1000,10,8829,40000,189829,
2023,1948,56,0,2200,270,1000,10,8829,40000,189829,
2023,1949,56,0,2200,270,1000,10,9306,40000,186306,
2024,1948,56,0,2200,270,1000,10,9306,40000,186306,
2024,1949,56,0,2200,270,1000,10,9781,40000,185781,
2026,1947,56,0,2200,270,1000,10,9781,40000,185781,
2027,1947,56,0,2200,270,1000,10,9781,40000,185781,
2027,1948,56,0,2200,270,1000,10,10248,40000,183248,
2028,1948,56,0,2200,270,1000,10,10248,40000,183248,
2029,1946,56,0,2200,270,1000,10,10709,40000,181709,
2030,1946,56,0,2200,270,1000,10,10709,40000,181709,
2031,1945,56,0,2200,270,1000,10,10709,40000,181709,
2033,1947,56,0,2200,270,1000,10,11162,40000,179162,
2034,1948,56,0,2200,270,1000,10,11162,40000,179162,
2036,1947,56,0,2200,270,1000,10,11604,40000,175604,
2037,1945,56,0,2200,270,1000,10,11604,40000,175604,
2037,1944,56,0,2200,270,1000,10,11604,40000,175604,
2038,1965,56,0,2200,270,1000,10,12044,40000,175044,
2038,1966,56,0,2200,270,1000,10,12044,40000,175044,
2040,1943,56,0,2200,270,1000,10,12044,40000,175044,
2040,1943,56,0,2200,270,1000,10,12476,40000,172476,
2042,1943,56,0,2200,270,1000,10,12476,40000,172476,
2042,1943,56,0,2200,270,1000,10,12902,40000,170902,
2044,1941,56,0,2200,270,1000,10,12902,40000,170902,
2046,1941,56,0,2200,270,1000,10,12902,40000,170902,
2047,1941,56,0,2200,270,1000,10,13317,40000,167317,
2049,1942,56,0,2200,270,1000,10,13317,40000,167317,
2049,1941,56,0,2200,270,1000,10,13724,40000,164724,
2050,1942,56,0,2200,270,1000,10,13724,40000,164724,
2051,1939,56,0,2200,270,1000,10,13724,40000,164724,
2051,1938,56,0,2200,270,1000,10,14126,40000,163126,
2053,1938,56,0,2200,270,1000,10,14126,40000,163126,
2054,1938,56,0,2200,270,1000,10,14520,40000,160520,
2055,1938,56,0,2200,270,1000,10,14520,40000,160520,
2054,1936,56,0,2200,270,1000,10,14520,40000,160520,
2054,1936,56,0,2200,270,1000,10,14914,40000,160914,
2055,1934,56,0,2200,270,1000,10,14914,40000,160914,
2057,1933,56,0,2200,270,1000,10,15300,40000,158300,
2061,1934,56,0,2200,270,1000,10,15300,40000,158300,
2061,1936,56,0,2200,270,1000,10,15300,40000,158300,
2061,1935,56,0,2200,270,1000,10,15675,40000,154675,
2061,1934,56,0,2200,270,1000,10,15675,40000,154675,
2061,1932,56,0,2200,270,1000,10,15675,40000,154675,
2062,1932,56,0,2200,270,1000,10,16050,40000,155050,
2063,1933,56,0,2200,270,1000,10,16050,40000,155050,
2066,1933,56,0,2200,270,1000,10,16414,40000,151414,
2066,1932,56,0,2200,270,1000,10,16414,40000,151414,
2067,1932,56,0,2200,270,1000,10,16414,40000,151414,
2068,1932,56,0,2200,270,1000,10,16773,40000,149773,
2068,1931,56,0,2200,270,1000,10,16773,40000,149773,
2069,1929,56,0,2200,270,1000,10,17126,40000,148126,
2070,1929,56,0,2200,270,1000,10,17126,40000,148126,
2072,1929,56,0,2200,270,1000,10,17126,40000,148126,
2072,1930,56,0,2200,270,1000,10,17471,40000,145471,
2073,1929,56,0,2200,270,1000,10,17471,40000,145471,
2073,1928,56,0,2200,270,1000,10,17813,40000,144813,
2074,1928,56,0,2200,270,1000,10,17813,40000,144813,
2075,1928,56,0,2200,270,1000,10,17813,40000,144813,
2077,1928,56,0,2200,270,1000,10,18147,40000,142147,
2078,1928,56,0,2200,270,1000,10,18147,40000,142147,
2077,1928,56,0,2200,270,1000,10,18479,40000,141479,
2078,1927,56,0,2200,270,1000,10,18479,40000,141479,
2080,1925,56,0,2200,270,1000,10,18479,40000,141479,
2080,1924,56,0,2200,270,1000,10,18803,40000,138803,
2080,1923,56,0,2200,270,1000,10,18803,40000,138803,
2081,1923,56,0,2200,270,1000,10,18803,40000,138803,
2082,1923,56,0,2200,270,1000,10,19124,40000,138124,
2083,1921,56,0,2200,270,1000,10,19124,40000,138124,
2084,1922,56,0,2200,270,1000,10,19439,40000,136439,
2085,1921,56,0,2200,270,1000,10,19439,40000,136439,
2086,1921,56,0,2200,270,1000,10,19439,40000,136439,
2087,1921,56,0,2200,270,1000,10,19746,40000,133746,
2088,1921,56,0,2200,270,1000,10,19746,40000,133746,
2088,1922,56,0,2200,270,1000,10,20048,40000,132048,
2089,1921,56,0,2200,270,1000,10,20048,40000,132048,
2090,1920,56,0,2200,270,1000,10,20048,40000,130345,
2091,1919,56,0,2200,270,1000,10,20345,40000,130345,
2091,1918,56,0,2200,270,1000,10,20345,40000,130345,
2092,1919,56,0,2200,270,1000,10,20636,40000,128636,
2093,1919,56,0,2200,270,1000,10,20636,40000,128636,
2094,1919,56,0,2200,270,1000,10,20636,40000,128636,
2095,1920,56,0,2200,270,1000,10,20922,40000,126922,
2095,1918,56,0,2200,270,1000,10,20922,40000,126922,
2095,1915,56,0,2200,270,1000,10,21205,40000,126205,
2098,1915,56,0,2200,270,1000,10,21205,40000,126205,
2099,1916,56,0,2200,270,1000,10,21205,40000,126205,
2099,1916,56,0,2200,270,1000,10,21475,40000,121475,
2099,1914,56,0,2200,270,1000,10,21475,40000,121475,
2100,1913,56,0,2200,270,1000,10,21745,40000,121745,
2099,1914,56,0,2200,270,1000,10,21745,40000,121745,
2100,1914,56,0,2200,270,1000,10,21745,40000,121745,
2101,1915,56,0,2200,270,1000,10,22015,40000,122015,
2103,1914,56,0,2200,270,1000,10,22015,40000,122015,
2104,1913,56,0,2200,270,1000,10,22015,40000,122015,
2104,1912,56,0,2200,270,1000,10,22274,40000,118274,
2105,1912,56,0,2200,270,1000,10,22274,40000,118274,
2106,1913,56,0,2200,270,1000,10,22530,40000,117530,
2107,1913,56,0,2200,270,1000,10,22530,40000,117530,
2107,1912,56,0,2200,270,1000,10,22530,40000,117530,
2108,1911,56,0,2200,270,1000,10,22781,40000,115781,
2110,1911,56,0,2200,270,1000,10,22781,40000,115781,
2110,1910,56,0,2200,270,1000,10,23024,40000,113024,
2109,1910,56,0,2200,270,1000,10,23024,40000,113024,
2110,1910,56,0,2200,270,1000,10,23024,40000,113024,
2112,1910,56,0,2200,270,1000,10,23267,40000,113267,
2114,1909,56,0,2200,270,1000,10,23267,40000,113267,
2114,1909,56,0,2200,270,1000,10,23499,40000,109499,
2114,1908,56,0,2200,270,1000,10,23499,40000,109499,
2114,1908,56,0,2200,270,1000,10,23499,40000,109499,
2115,1908,56,0,2200,270,1000,10,23731,40000,109731,
2116,1907,56,0,2200,270,1000,10,23731,40000,109731,
2116,1907,56,0,2200,270,1000,10,23957,40000,107957,
2116,1907,56,0,2200,270,1000,10,23957,40000,107957,
2118,1905,56,0,2200,270,1000,10,23957,40000,107957,
2119,1905,56,0,2200,270,1000,10,24175,40000,105175,
2120,1904,56,0,2200,270,1000,10,24175,40000,105175,
2121,1903,56,0,2200,270,1000,10,24388,40000,103388,
2122,1904,56,0,2200,270,1000,10,24388,40000,103388,
2102,1905,56,0,2200,270,1000,10,24388,40000,103388,
2103,1905,56,0,2200,270,1000,10,24652,40000,122652,
2123,1905,56,0,2200,270,1000,10,24652,40000,122652,
2125,1903,56,0,2200,270,1000,10,24652,40000,122652,
2125,1902,56,0,2200,270,1000,10,24854,40000,99854,
2124,1902,56,0,2200,270,1000,10,24854,40000,99854,
2124,1903,56,0,2200,270,1000,10,25059,40000,101059,
2125,1901,56,0,2200,270,1000,10,25059,40000,101059,
2128,1900,56,0,2200,270,1000,10,25059,40000,101059,
