RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidKd,
2022,2083,27,0,2200,270,100,0,0,
2022,2083,27,0,2200,270,100,0,0,
2022,2082,27,0,2200,270,100,0,0,
2022,2082,27,0,2200,270,100,0,0,
2022,2084,27,0,2200,270,100,0,0,
2022,2083,27,0,2200,270,100,0,0,
2021,2084,27,0,2200,270,100,0,0,
2022,2081,27,0,2200,270,100,0,0,
2023,2082,27,0,2200,270,100,0,0,
2024,2083,27,0,2200,270,100,0,0,
2024,2113,26,0,2200,270,100,0,0,
2024,2114,26,0,2200,270,100,0,0,
2025,2116,26,0,2200,270,100,0,0,
2026,2085,26,0,2200,270,100,0,0,
2027,2084,26,0,2200,270,100,0,0,
2027,2082,26,0,2200,270,100,0,0,
2030,2082,26,0,2200,270,100,0,0,
2031,2082,26,0,2200,270,100,0,0,
2031,2084,25,0,2200,270,100,0,0,
2030,2083,25,0,2200,270,100,0,0,
2032,2082,25,0,2200,270,100,0,0,
2034,2081,25,0,2200,270,100,0,0,
2034,2081,25,0,2200,270,100,0,0,
2034,2083,25,0,2200,270,100,0,0,
2034,2083,25,0,2200,270,100,0,0,
2035,2100,25,0,2200,270,100,0,0,
2034,2099,25,0,2200,270,100,0,0,
2037,2099,25,0,2200,270,100,0,0,
2039,2083,24,0,2200,270,100,0,0,
2039,2083,24,0,2200,270,100,0,0,
2041,2083,24,0,2200,270,100,0,0,
2041,2082,24,0,2200,270,100,0,0,
2041,2081,24,0,2200,270,100,0,0,
2041,2080,24,0,2200,270,100,0,0,
2043,2080,24,0,2200,270,100,0,0,
2044,2081,23,0,2200,270,100,0,0,
2045,2080,23,0,2200,270,100,0,0,
2045,2078,23,0,2200,270,100,0,0,
2045,2078,23,0,2200,270,100,0,0,
2046,2079,23,0,2200,270,100,0,0,
2046,2080,23,0,2200,270,100,0,0,
2047,2079,23,0,2200,270,100,0,0,
2049,2080,23,0,2200,270,100,0,0,
2050,2081,23,0,2200,270,100,0,0,
2050,2080,23,0,2200,270,100,0,0,
2051,2079,23,0,2200,270,100,0,0,
2051,2078,22,0,2200,270,100,0,0,
2051,2077,22,0,2200,270,100,0,0,
2052,2076,22,0,2200,270,100,0,0,
2054,2077,22,0,2200,270,100,0,0,
2055,2077,22,0,2200,270,100,0,0,
2054,2077,22,0,2200,270,100,0,0,
2055,2076,22,0,2200,270,100,0,0,
2054,2075,22,0,2200,270,100,0,0,
2056,2076,22,0,2200,270,100,0,0,
2057,2075,22,0,2200,270,100,0,0,
2057,2069,21,0,2200,270,100,0,0,
2058,2069,21,0,2200,270,100,0,0,
2057,2075,21,0,2200,270,100,0,0,
2058,2076,21,0,2200,270,100,0,0,
2059,2076,21,0,2200,270,100,0,0,
2061,2076,21,0,2200,270,100,0,0,
2062,2075,21,0,2200,270,100,0,0,
2061,2076,21,0,2200,270,100,0,0,
2062,2075,21,0,2200,270,100,0,0,
2063,2076,21,0,2200,270,100,0,0,
2063,2077,20,0,2200,270,100,0,0,
2063,2075,20,0,2200,270,100,0,0,
2064,2074,20,0,2200,270,100,0,0,
2065,2073,20,0,2200,270,100,0,0,
2066,2071,20,0,2200,270,100,0,0,
2065,2071,20,0,2200,270,100,0,0,
2065,2070,20,0,2200,270,100,0,0,
2066,2071,20,0,2200,270,100,0,0,
2067,2071,20,0,2200,270,100,0,0,
2067,2071,20,0,2200,270,100,0,0,
2067,2068,20,0,2200,270,100,0,0,
2067,2068,20,0,2200,270,100,0,0,
2069,2070,20,0,2200,270,100,0,0,
2069,2071,19,0,2200,270,100,0,0,
2069,2071,19,0,2200,270,100,0,0,
2069,2071,19,0,2200,270,100,0,0,
2072,2069,19,0,2200,270,100,0,0,
2072,2067,19,0,2200,270,100,0,0,
2071,2066,19,0,2200,270,100,0,0,
2071,2065,19,0,2200,270,100,0,0,
2071,2066,19,0,2200,270,100,0,0,
2071,2064,19,0,2200,270,100,0,0,
2072,2064,19,0,2200,270,100,0,0,
2073,2064,19,0,2200,270,100,0,0,
2074,2065,19,0,2200,270,100,0,0,
2074,2067,19,0,2200,270,100,0,0,
2074,2067,19,0,2200,270,100,0,0,
2074,2067,19,0,2200,270,100,0,0,
2075,2067,19,0,2200,270,100,0,0,
2075,2067,19,0,2200,270,100,0,0,
2075,2064,19,0,2200,270,100,0,0,
2077,2065,19,0,2200,270,100,0,0,
2077,2064,19,0,2200,270,100,0,0,
2077,2063,18,0,2200,270,100,0,0,
2078,2061,18,0,2200,270,100,0,0,
2079,2063,18,0,2200,270,100,0,0,
2079,2062,18,0,2200,270,100,0,0,
2080,2062,18,0,2200,270,100,0,0,
2079,2062,18,0,2200,270,100,0,0,
2079,2063,18,0,2200,270,100,0,0,
2079,2065,18,0,2200,270,100,0,0,
2080,2062,18,0,2200,270,100,0,0,
2080,2062,18,0,2200,270,100,0,0,
2080,2062,18,0,2200,270,100,0,0,
2081,2062,18,0,2200,270,100,0,0,
2082,2060,18,0,2200,270,100,0,0,
2082,2058,18,0,2200,270,100,0,0,
2082,2059,18,0,2200,270,100,0,0,
2083,2060,17,0,2200,270,100,0,0,
2083,2061,17,0,2200,270,100,0,0,
2084,2062,17,0,2200,270,100,0,0,
2084,2061,17,0,2200,270,100,0,0,
2085,2060,17,0,2200,270,100,0,0,
2084,2060,17,0,2200,270,100,0,0,
2083,2060,17,0,2200,270,100,0,0,
2083,2057,17,0,2200,270,100,0,0,
2083,2058,17,0,2200,270,100,0,0,
2084,2058,17,0,2200,270,100,0,0,
2085,2057,17,0,2200,270,100,0,0,
2087,2056,17,0,2200,270,100,0,0,
2087,2058,17,0,2200,270,100,0,0,
2088,2059,17,0,2200,270,100,0,0,
2088,2058,17,0,2200,270,100,0,0,
2088,2057,17,0,2200,270,100,0,0,
2088,2057,17,0,2200,270,100,0,0,
2089,2056,17,0,2200,270,100,0,0,
2088,2056,16,0,2200,270,100,0,0,
2089,2055,16,0,2200,270,100,0,0,
2089,2056,16,0,2200,270,100,0,0,
2090,2056,16,0,2200,270,100,0,0,
2090,2056,16,0,2200,270,100,0,0,
2090,2056,16,0,2200,270,100,0,0,
2091,2055,16,0,2200,270,100,0,0,
2090,2055,16,0,2200,270,100,0,0,
2091,2053,16,0,2200,270,100,0,0,
2091,2055,16,0,2200,270,100,0,0,
2091,2055,16,0,2200,270,100,0,0,
2091,2056,16,0,2200,270,100,0,0,
2091,2055,16,0,2200,270,100,0,0,
2091,2055,16,0,2200,270,100,0,0,
2091,2055,16,0,2200,270,100,0,0,
2092,2055,16,0,2200,270,100,0,0,
2094,2056,16,0,2200,270,100,0,0,
2095,2054,16,0,2200,270,100,0,0,
2095,2054,16,0,2200,270,100,0,0,
2095,2053,16,0,2200,270,100,0,0,
2097,2054,15,0,2200,270,100,0,0,
2098,2053,15,0,2200,270,100,0,0,
2098,2053,15,0,2200,270,100,0,0,
2095,2054,15,0,2200,270,100,0,0,
2095,2054,15,0,2200,270,100,0,0,
2096,2054,15,0,2200,270,100,0,0,
2096,2052,15,0,2200,270,100,0,0,
2097,2053,15,0,2200,270,100,0,0,
2098,2053,15,0,2200,270,100,0,0,
2099,2052,15,0,2200,270,100,0,0,
2100,2052,15,0,2200,270,100,0,0,
2098,2052,15,0,2200,270,100,0,0,
2099,2053,15,0,2200,270,100,0,0,
2098,2052,15,0,2200,270,100,0,0,
2099,2051,15,0,2200,270,100,0,0,
2099,2050,15,0,2200,270,100,0,0,
2100,2050,15,0,2200,270,100,0,0,
2100,2050,15,0,2200,270,100,0,0,
2100,2050,15,0,2200,270,100,0,0,
2100,2051,15,0,2200,270,100,0,0,
2101,2051,15,0,2200,270,100,0,0,
2101,2050,15,0,2200,270,100,0,0,
2102,2048,15,0,2200,270,100,0,0,
2102,2050,15,0,2200,270,100,0,0,
2102,2051,14,0,2200,270,100,0,0,
2102,2050,14,0,2200,270,100,0,0,
2102,2049,15,0,2200,270,100,0,0,
2101,2048,15,0,2200,270,100,0,0,
2101,2049,15,0,2200,270,100,0,0,
2102,2049,15,0,2200,270,100,0,0,
2103,2049,15,0,2200,270,100,0,0,
