RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidISum,RegPeltierPidISumMax,RegPeltierPidMv,
2000,1945,92,1,2200,270,1000,100,-4661,35000,60874,
2000,1945,56,0,2200,270,1000,100,5400,35000,205400,
1998,1945,56,0,2200,270,1000,100,5400,35000,205400,
1997,1947,56,0,2200,270,1000,100,10881,35000,213881,
1999,1945,56,0,2200,270,1000,100,10881,35000,213881,
2000,1946,56,0,2200,270,1000,100,16281,35000,216281,
2001,1945,56,0,2200,270,1000,100,16281,35000,216281,
2000,1945,56,0,2200,270,1000,100,16281,35000,216281,
2000,1945,56,0,2200,270,1000,100,21708,35000,222708,
2000,1946,56,0,2200,270,1000,100,21708,35000,222708,
2002,1947,56,0,2200,270,1000,100,21708,35000,222708,
2002,1948,56,0,2200,270,1000,100,27054,35000,225054,
2003,1949,56,0,2200,270,1000,100,27054,35000,225054,
2005,1949,56,0,2200,270,1000,100,32346,35000,228346,
2006,1950,56,0,2200,270,1000,100,32346,35000,228346,
2008,1949,56,0,2200,270,1000,100,32346,35000,228346,
2008,1949,56,0,2200,270,1000,100,35000,35000,227000,
2009,1949,56,0,2200,270,1000,100,35000,35000,227000,
2011,1949,56,0,2200,270,1000,100,35000,35000,224000,
2014,1947,56,0,2200,270,1000,100,35000,35000,224000,
2015,1947,56,0,2200,270,1000,100,35000,35000,224000,
2015,1947,56,0,2200,270,1000,100,35000,35000,220000,
2016,1948,56,0,2200,270,1000,100,35000,35000,220000,
2019,1947,56,0,2200,270,1000,100,35000,35000,220000,
2021,1948,56,0,2200,270,1000,100,35000,35000,216000,
2023,1949,56,0,2200,270,1000,100,35000,35000,216000,
2025,1949,56,0,2200,270,1000,100,35000,35000,210000,
2026,1949,56,0,2200,270,1000,100,35000,35000,210000,
2025,1948,56,0,2200,270,1000,100,35000,35000,210000,
2027,1948,56,0,2200,270,1000,100,35000,35000,210000,
2029,1947,56,0,2200,270,1000,100,35000,35000,210000,
2030,1947,56,0,2200,270,1000,100,35000,35000,206000,
2031,1946,56,0,2200,270,1000,100,35000,35000,206000,
2034,1944,56,0,2200,270,1000,100,35000,35000,206000,
2036,1944,56,0,2200,270,1000,100,35000,35000,200000,
2036,1945,56,0,2200,270,1000,100,35000,35000,200000,
2036,1945,56,0,2200,270,1000,100,35000,35000,199000,
2038,1946,56,0,2200,270,1000,100,35000,35000,199000,
2039,1944,56,0,2200,270,1000,100,35000,35000,199000,
2041,1944,56,0,2200,270,1000,100,35000,35000,195000,
2043,1944,56,0,2200,270,1000,100,35000,35000,195000,
2044,1945,56,0,2200,270,1000,100,35000,35000,195000,
2044,1945,56,0,2200,270,1000,100,35000,35000,191000,
2045,1945,56,0,2200,270,1000,100,35000,35000,191000,
2046,1943,56,0,2200,270,1000,100,35000,35000,189000,
2048,1941,56,0,2200,270,1000,100,35000,35000,189000,
2049,1940,56,0,2200,270,1000,100,35000,35000,186000,
2051,1942,56,0,2200,270,1000,100,35000,35000,186000,
2052,1942,56,0,2200,270,1000,100,35000,35000,186000,
2053,1941,56,0,2200,270,1000,100,35000,35000,183000,
2053,1941,56,0,2200,270,1000,100,35000,35000,183000,
2056,1941,56,0,2200,270,1000,100,35000,35000,183000,
2056,1940,56,0,2200,270,1000,100,35000,35000,179000,
2056,1941,56,0,2200,270,1000,100,35000,35000,179000,
2059,1940,56,0,2200,270,1000,100,35000,35000,178000,
2070,1939,56,0,2200,270,1000,100,35000,35000,178000,
2071,1938,56,0,2200,270,1000,100,35000,35000,178000,
2072,1937,56,0,2200,270,1000,100,35000,35000,164000,
2063,1937,56,0,2200,270,1000,100,35000,35000,164000,
2064,1937,56,0,2200,270,1000,100,35000,35000,172000,
2065,1937,56,0,2200,270,1000,100,35000,35000,172000,
2065,1937,56,0,2200,270,1000,100,35000,35000,172000,
2066,1937,56,0,2200,270,1000,100,35000,35000,169000,
