RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidISum,RegPeltierPidISumMax,RegPeltierPidMv,
2004,1902,25,1,1400,270,1000,500,-35000,35000,-572465,
2004,1903,25,1,1400,270,1000,500,-35000,35000,-572465,
2006,1902,25,1,1400,270,1000,500,-35000,35000,-575465,
2006,1901,25,1,1400,270,1000,500,-35000,35000,-575465,
2005,1901,25,1,1400,270,1000,500,-35000,35000,-575465,
2004,1901,25,1,1400,270,1000,500,-35000,35000,-573465,
2004,1901,25,1,1400,270,1000,500,-35000,35000,-573465,
2004,1901,25,1,1400,270,1000,500,-35000,35000,-573465,
2004,1901,25,1,1400,270,1000,500,-35000,35000,-573465,
2001,1903,25,1,1400,270,1000,500,-35000,35000,-573465,
1999,1902,25,1,1400,270,1000,500,-35000,35000,-569465,
1997,1901,25,1,1400,270,1000,500,-35000,35000,-569465,
1995,1899,25,1,1400,270,1000,500,-35000,35000,-569465,
1992,1900,25,1,1400,270,1000,500,-35000,35000,-564465,
1990,1902,25,1,1400,270,1000,500,-35000,35000,-564465,
1987,1901,25,1,1400,270,1000,500,-35000,35000,-556465,
1984,1901,25,1,1400,270,1000,500,-35000,35000,-556465,
1981,1902,25,1,1400,270,1000,500,-35000,35000,-556465,
1977,1902,25,1,1400,270,1000,500,-35000,35000,-549465,
1973,1902,25,1,1400,270,1000,500,-35000,35000,-549465,
1969,1900,25,1,1400,270,1000,500,-35000,35000,-539465,
1967,1900,25,1,1400,270,1000,500,-35000,35000,-539465,
1964,1901,25,1,1400,270,1000,500,-35000,35000,-539465,
1961,1902,25,1,1400,270,1000,500,-35000,35000,-532465,
1956,1903,25,1,1400,270,1000,500,-35000,35000,-532465,
1953,1902,25,1,1400,270,1000,500,-35000,35000,-532465,
1951,1900,25,1,1400,270,1000,500,-35000,35000,-522465,
1947,1902,25,1,1400,270,1000,500,-35000,35000,-522465,
1943,1902,25,1,1400,270,1000,500,-35000,35000,-514465,
1940,1902,25,1,1400,270,1000,500,-35000,35000,-514465,
1937,1904,25,1,1400,270,1000,500,-35000,35000,-514465,
1934,1904,25,1,1400,270,1000,500,-35000,35000,-506465,
1931,1899,25,1,1400,270,1000,500,-35000,35000,-506465,
1928,1899,25,1,1400,270,1000,500,-35000,35000,-499465,
1924,1899,25,1,1400,270,1000,500,-35000,35000,-499465,
1921,1903,25,1,1400,270,1000,500,-35000,35000,-499465,
1919,1902,25,1,1400,270,1000,500,-35000,35000,-490465,
