RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidISum,RegPeltierPidISumMax,RegPeltierPidMv,
1997,1868,25,1,1400,270,1000,1000,-35000,35000,-566465,
1998,1868,25,1,1400,270,1000,1000,-35000,35000,-566465,
1998,1868,25,1,1400,270,1000,1000,-35000,35000,-567465,
1998,1868,25,1,1400,270,1000,1000,-35000,35000,-567465,
1996,1870,25,1,1400,270,1000,1000,-35000,35000,-566465,
1995,1869,25,1,1400,270,1000,1000,-35000,35000,-566465,
1995,1868,25,1,1400,270,1000,1000,-35000,35000,-566465,
1987,1869,25,1,1400,270,1000,1000,-35000,35000,-564465,
1985,1868,25,1,1400,270,1000,1000,-35000,35000,-564465,
1982,1867,25,1,1400,270,1000,1000,-35000,35000,-564465,
1988,1867,25,1,1400,270,1000,1000,-35000,35000,-551465,
1986,1869,25,1,1400,270,1000,1000,-35000,35000,-551465,
1983,1871,25,1,1400,270,1000,1000,-35000,35000,-554465,
1981,1871,25,1,1400,270,1000,1000,-35000,35000,-554465,
1976,1871,25,1,1400,270,1000,1000,-35000,35000,-554465,
1974,1872,25,1,1400,270,1000,1000,-35000,35000,-545465,
1972,1871,25,1,1400,270,1000,1000,-35000,35000,-545465,
1968,1871,25,1,1400,270,1000,1000,-35000,35000,-540465,
1965,1870,25,1,1400,270,1000,1000,-35000,35000,-540465,
1960,1872,25,1,1400,270,1000,1000,-35000,35000,-540465,
1957,1873,25,1,1400,270,1000,1000,-35000,35000,-529465,
1955,1873,25,1,1400,270,1000,1000,-35000,35000,-529465,
1952,1873,25,1,1400,270,1000,1000,-35000,35000,-522465,
1948,1872,25,1,1400,270,1000,1000,-35000,35000,-522465,
1945,1874,25,1,1400,270,1000,1000,-35000,35000,-522465,
1941,1873,25,1,1400,270,1000,1000,-35000,35000,-513465,
1938,1874,25,1,1400,270,1000,1000,-35000,35000,-513465,
1934,1874,25,1,1400,270,1000,1000,-35000,35000,-504465,
1931,1877,25,1,1400,270,1000,1000,-35000,35000,-504465,
1927,1878,25,1,1400,270,1000,1000,-35000,35000,-504465,
1924,1878,25,1,1400,270,1000,1000,-35000,35000,-495465,
1921,1874,25,1,1400,270,1000,1000,-35000,35000,-495465,
1918,1875,25,1,1400,270,1000,1000,-35000,35000,-487465,
1915,1878,25,1,1400,270,1000,1000,-35000,35000,-487465,
1911,1879,25,1,1400,270,1000,1000,-35000,35000,-487465,
1908,1879,25,1,1400,270,1000,1000,-35000,35000,-478465,
1905,1879,25,1,1400,270,1000,1000,-35000,35000,-478465,
1903,1879,25,1,1400,270,1000,1000,-35000,35000,-478465,
1898,1879,25,1,1400,270,1000,1000,-35000,35000,-472465,
1896,1881,25,1,1400,270,1000,1000,-35000,35000,-472465,
1892,1883,25,1,1400,270,1000,1000,-35000,35000,-463465,
1892,1884,25,1,1400,270,1000,1000,-35000,35000,-463465,
1887,1885,25,1,1400,270,1000,1000,-35000,35000,-463465,
1884,1884,25,1,1400,270,1000,1000,-35000,35000,-456465,
1879,1886,25,1,1400,270,1000,1000,-35000,35000,-456465,
1878,1886,25,1,1400,270,1000,1000,-35000,35000,-447465,
1876,1887,25,1,1400,270,1000,1000,-35000,35000,-447465,
1873,1885,25,1,1400,270,1000,1000,-35000,35000,-447465,
1869,1884,25,1,1400,270,1000,1000,-35000,35000,-441465,
1867,1885,25,1,1400,270,1000,1000,-35000,35000,-441465,
1863,1888,25,1,1400,270,1000,1000,-35000,35000,-433465,
1860,1889,25,1,1400,270,1000,1000,-35000,35000,-433465,
1859,1890,25,1,1400,270,1000,1000,-35000,35000,-433465,
1856,1890,25,1,1400,270,1000,1000,-35000,35000,-427465,
1853,1892,25,1,1400,270,1000,1000,-35000,35000,-427465,
1851,1893,25,1,1400,270,1000,1000,-35000,35000,-420465,
1848,1893,25,1,1400,270,1000,1000,-35000,35000,-420465,
1845,1891,25,1,1400,270,1000,1000,-35000,35000,-420465,
1842,1892,25,1,1400,270,1000,1000,-35000,35000,-413465,
1838,1894,25,1,1400,270,1000,1000,-35000,35000,-413465,
1837,1896,25,1,1400,270,1000,1000,-35000,35000,-413465,
1835,1898,25,1,1400,270,1000,1000,-35000,35000,-406465,
1833,1896,25,1,1400,270,1000,1000,-35000,35000,-406465,
1829,1894,25,1,1400,270,1000,1000,-35000,35000,-400465,
1827,1896,25,1,1400,270,1000,1000,-35000,35000,-400465,
1824,1898,25,1,1400,270,1000,1000,-35000,35000,-400465,
1823,1900,25,1,1400,270,1000,1000,-35000,35000,-393465,
1820,1900,25,1,1400,270,1000,1000,-35000,35000,-393465,
1818,1900,25,1,1400,270,1000,1000,-35000,35000,-388465,
1815,1902,25,1,1400,270,1000,1000,-35000,35000,-388465,
1813,1901,25,1,1400,270,1000,1000,-35000,35000,-388465,
1810,1900,25,1,1400,270,1000,1000,-35000,35000,-381465,
1808,1900,25,1,1400,270,1000,1000,-35000,35000,-381465,
1805,1901,25,1,1400,270,1000,1000,-35000,35000,-375465,
1803,1903,25,1,1400,270,1000,1000,-35000,35000,-375465,
1801,1903,25,1,1400,270,1000,1000,-35000,35000,-375465,
1798,1903,25,1,1400,270,1000,1000,-35000,35000,-370465,
1796,1906,25,1,1400,270,1000,1000,-35000,35000,-370465,
1793,1906,25,1,1400,270,1000,1000,-35000,35000,-363465,
1791,1905,25,1,1400,270,1000,1000,-35000,35000,-363465,
1789,1906,25,1,1400,270,1000,1000,-35000,35000,-363465,
1786,1908,25,1,1400,270,1000,1000,-35000,35000,-357465,
1783,1908,25,1,1400,270,1000,1000,-35000,35000,-357465,
1781,1909,25,1,1400,270,1000,1000,-35000,35000,-350465,
1779,1910,25,1,1400,270,1000,1000,-35000,35000,-350465,
1778,1910,25,1,1400,270,1000,1000,-35000,35000,-350465,
1777,1908,25,1,1400,270,1000,1000,-35000,35000,-346465,
1775,1907,25,1,1400,270,1000,1000,-35000,35000,-346465,
1771,1909,25,1,1400,270,1000,1000,-35000,35000,-346465,
1768,1912,25,1,1400,270,1000,1000,-35000,35000,-340465,
1767,1913,25,1,1400,270,1000,1000,-35000,35000,-340465,
1765,1913,25,1,1400,270,1000,1000,-35000,35000,-335465,
1763,1913,25,1,1400,270,1000,1000,-35000,35000,-335465,
1760,1915,25,1,1400,270,1000,1000,-35000,35000,-335465,
1758,1916,25,1,1400,270,1000,1000,-35000,35000,-329465,
1756,1918,25,1,1400,270,1000,1000,-35000,35000,-329465,
1754,1917,25,1,1400,270,1000,1000,-35000,35000,-324465,
1751,1916,25,1,1400,270,1000,1000,-35000,35000,-324465,
1749,1917,25,1,1400,270,1000,1000,-35000,35000,-324465,
1747,1929,25,1,1400,270,1000,1000,-35000,35000,-318465,
1746,1929,25,1,1400,270,1000,1000,-35000,35000,-318465,
1744,1930,25,1,1400,270,1000,1000,-35000,35000,-314465,
1742,1921,25,1,1400,270,1000,1000,-35000,35000,-314465,
1739,1921,25,1,1400,270,1000,1000,-35000,35000,-314465,
1737,1923,25,1,1400,270,1000,1000,-35000,35000,-307465,
1735,1923,25,1,1400,270,1000,1000,-35000,35000,-307465,
1734,1923,25,1,1400,270,1000,1000,-35000,35000,-307465,
1732,1923,25,1,1400,270,1000,1000,-35000,35000,-303465,
1729,1923,25,1,1400,270,1000,1000,-35000,35000,-303465,
1727,1924,25,1,1400,270,1000,1000,-35000,35000,-297465,
1725,1925,25,1,1400,270,1000,1000,-35000,35000,-297465,
1724,1926,25,1,1400,270,1000,1000,-35000,35000,-297465,
1722,1926,25,1,1400,270,1000,1000,-35000,35000,-293465,
1719,1926,25,1,1400,270,1000,1000,-35000,35000,-293465,
1717,1927,25,1,1400,270,1000,1000,-35000,35000,-287465,
1715,1928,25,1,1400,270,1000,1000,-35000,35000,-287465,
1713,1928,25,1,1400,270,1000,1000,-35000,35000,-287465,
1711,1927,25,1,1400,270,1000,1000,-35000,35000,-282465,
1709,1929,25,1,1400,270,1000,1000,-35000,35000,-282465,
1707,1929,25,1,1400,270,1000,1000,-35000,35000,-277465,
1706,1929,25,1,1400,270,1000,1000,-35000,35000,-277465,
1704,1931,25,1,1400,270,1000,1000,-35000,35000,-277465,
1701,1931,25,1,1400,270,1000,1000,-35000,35000,-273465,
1698,1931,25,1,1400,270,1000,1000,-35000,35000,-273465,
1697,1931,25,1,1400,270,1000,1000,-35000,35000,-266465,
1695,1929,25,1,1400,270,1000,1000,-35000,35000,-266465,
1693,1930,25,1,1400,270,1000,1000,-35000,35000,-266465,
1691,1931,25,1,1400,270,1000,1000,-35000,35000,-262465,
1690,1932,25,1,1400,270,1000,1000,-35000,35000,-262465,
1689,1932,25,1,1400,270,1000,1000,-35000,35000,-259465,
1688,1933,25,1,1400,270,1000,1000,-35000,35000,-259465,
1685,1936,25,1,1400,270,1000,1000,-35000,35000,-259465,
1683,1935,25,1,1400,270,1000,1000,-35000,35000,-253465,
1681,1935,25,1,1400,270,1000,1000,-35000,35000,-253465,
1680,1934,25,1,1400,270,1000,1000,-35000,35000,-253465,
1678,1937,25,1,1400,270,1000,1000,-35000,35000,-249465,
1676,1937,25,1,1400,270,1000,1000,-35000,35000,-249465,
1672,1938,25,1,1400,270,1000,1000,-35000,35000,-243465,
1671,1939,25,1,1400,270,1000,1000,-35000,35000,-243465,
1669,1942,25,1,1400,270,1000,1000,-35000,35000,-243465,
1668,1942,25,1,1400,270,1000,1000,-35000,35000,-238465,
1666,1941,25,1,1400,270,1000,1000,-35000,35000,-238465,
1664,1940,25,1,1400,270,1000,1000,-35000,35000,-234465,
1662,1940,25,1,1400,270,1000,1000,-35000,35000,-234465,
1662,1942,25,1,1400,270,1000,1000,-35000,35000,-234465,
1660,1941,25,1,1400,270,1000,1000,-35000,35000,-231465,
1657,1941,25,1,1400,270,1000,1000,-35000,35000,-231465,
1655,1942,25,1,1400,270,1000,1000,-35000,35000,-225465,
1653,1945,25,1,1400,270,1000,1000,-35000,35000,-225465,
1651,1945,25,1,1400,270,1000,1000,-35000,35000,-225465,
1650,1945,25,1,1400,270,1000,1000,-35000,35000,-220465,
1649,1946,25,1,1400,270,1000,1000,-35000,35000,-220465,
1647,1946,25,1,1400,270,1000,1000,-35000,35000,-216465,
1644,1944,25,1,1400,270,1000,1000,-35000,35000,-216465,
1644,1942,25,1,1400,270,1000,1000,-35000,35000,-216465,
1642,1944,25,1,1400,270,1000,1000,-35000,35000,-212465,
