RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidISum,RegPeltierPidISumMax,RegPeltierPidMv,
2000,1936,0,0,2500,270,1000,500,-810,35000,190,
2000,1935,74,0,2500,270,1000,500,35000,35000,535000,
2000,1936,74,0,2500,270,1000,500,35000,35000,535000,
2001,1938,74,0,2500,270,1000,500,35000,35000,534000,
2002,1939,74,0,2500,270,1000,500,35000,35000,534000,
2001,1940,74,0,2500,270,1000,500,35000,35000,534000,
2000,1939,74,0,2500,270,1000,500,35000,35000,534000,
2001,1940,74,0,2500,270,1000,500,35000,35000,534000,
2002,1939,74,0,2500,270,1000,500,35000,35000,533000,
2003,1938,74,0,2500,270,1000,500,35000,35000,533000,
2003,1937,74,0,2500,270,1000,500,35000,35000,533000,
2005,1937,74,0,2500,270,1000,500,35000,35000,531000,
2006,1938,74,0,2500,270,1000,500,35000,35000,531000,
2007,1937,74,0,2500,270,1000,500,35000,35000,531000,
2009,1938,74,0,2500,270,1000,500,35000,35000,528000,
2011,1938,74,0,2500,270,1000,500,35000,35000,528000,
2012,1937,74,0,2500,270,1000,500,35000,35000,523000,
2014,1937,74,0,2500,270,1000,500,35000,35000,523000,
2015,1938,74,0,2500,270,1000,500,35000,35000,523000,
2018,1937,74,0,2500,270,1000,500,35000,35000,519000,
2020,1936,74,0,2500,270,1000,500,35000,35000,519000,
2021,1935,74,0,2500,270,1000,500,35000,35000,514000,
2023,1937,74,0,2500,270,1000,500,35000,35000,514000,
2025,1936,74,0,2500,270,1000,500,35000,35000,514000,
2027,1934,74,0,2500,270,1000,500,35000,35000,510000,
2028,1935,74,0,2500,270,1000,500,35000,35000,510000,
2030,1935,74,0,2500,270,1000,500,35000,35000,505000,
2031,1935,74,0,2500,270,1000,500,35000,35000,505000,
2033,1935,74,0,2500,270,1000,500,35000,35000,505000,
2034,1935,74,0,2500,270,1000,500,35000,35000,502000,
2036,1935,74,0,2500,270,1000,500,35000,35000,502000,
2038,1935,74,0,2500,270,1000,500,35000,35000,497000,
2040,1935,74,0,2500,270,1000,500,35000,35000,497000,
2042,1934,74,0,2500,270,1000,500,35000,35000,497000,
2044,1934,74,0,2500,270,1000,500,35000,35000,492000,
2046,1933,74,0,2500,270,1000,500,35000,35000,492000,
2048,1933,74,0,2500,270,1000,500,35000,35000,488000,
2049,1933,74,0,2500,270,1000,500,35000,35000,488000,
2050,1932,74,0,2500,270,1000,500,35000,35000,488000,
2052,1932,74,0,2500,270,1000,500,35000,35000,484000,
2054,1933,74,0,2500,270,1000,500,35000,35000,484000,
2055,1930,74,0,2500,270,1000,500,35000,35000,480000,
2056,1930,74,0,2500,270,1000,500,35000,35000,480000,
2058,1929,74,0,2500,270,1000,500,35000,35000,480000,
2059,1930,74,0,2500,270,1000,500,35000,35000,476000,
2061,1929,74,0,2500,270,1000,500,35000,35000,476000,
2063,1928,74,0,2500,270,1000,500,35000,35000,476000,
2064,1927,74,0,2500,270,1000,500,35000,35000,472000,
2066,1926,74,0,2500,270,1000,500,35000,35000,472000,
2066,1926,74,0,2500,270,1000,500,35000,35000,469000,
2069,1925,74,0,2500,270,1000,500,35000,35000,469000,
2069,1925,74,0,2500,270,1000,500,35000,35000,469000,
2039,1925,74,0,2500,270,1000,500,35000,35000,465000,
2040,1924,74,0,2500,270,1000,500,35000,35000,465000,
2043,1924,74,0,2500,270,1000,500,35000,35000,493000,
2076,1924,74,0,2500,270,1000,500,35000,35000,493000,
2077,1923,74,0,2500,270,1000,500,35000,35000,493000,
2077,1922,74,0,2500,270,1000,500,35000,35000,458000,
2079,1920,74,0,2500,270,1000,500,35000,35000,458000,
2081,1920,74,0,2500,270,1000,500,35000,35000,454000,
2083,1920,74,0,2500,270,1000,500,35000,35000,454000,
2084,1920,74,0,2500,270,1000,500,35000,35000,454000,
2085,1921,74,0,2500,270,1000,500,35000,35000,451000,
2086,1921,74,0,2500,270,1000,500,35000,35000,451000,
2087,1944,74,0,2500,270,1000,500,35000,35000,451000,
2089,1941,74,0,2500,270,1000,500,35000,35000,448000,
2089,1939,74,0,2500,270,1000,500,35000,35000,448000,
2090,1914,74,0,2500,270,1000,500,35000,35000,445000,
2092,1912,74,0,2500,270,1000,500,35000,35000,445000,
2094,1912,74,0,2500,270,1000,500,35000,35000,445000,
2095,1912,74,0,2500,270,1000,500,35000,35000,441000,
2096,1913,74,0,2500,270,1000,500,35000,35000,441000,
2097,1912,74,0,2500,270,1000,500,35000,35000,438000,
2099,1913,74,0,2500,270,1000,500,35000,35000,438000,
2100,1912,74,0,2500,270,1000,500,35000,35000,438000,
2102,1911,74,0,2500,270,1000,500,35000,35000,434000,
2103,1909,74,0,2500,270,1000,500,35000,35000,434000,
2103,1908,74,0,2500,270,1000,500,35000,35000,432000,
2104,1908,74,0,2500,270,1000,500,35000,35000,432000,
2104,1909,74,0,2500,270,1000,500,35000,35000,432000,
2106,1910,74,0,2500,270,1000,500,35000,35000,430000,
2108,1910,74,0,2500,270,1000,500,35000,35000,430000,
2109,1909,74,0,2500,270,1000,500,35000,35000,430000,
2115,1907,74,0,2500,270,1000,500,35000,35000,426000,
2116,1905,74,0,2500,270,1000,500,35000,35000,426000,
2117,1903,74,0,2500,270,1000,500,35000,35000,419000,
2114,1904,74,0,2500,270,1000,500,35000,35000,419000,
2117,1905,74,0,2500,270,1000,500,35000,35000,418000,
2117,1904,74,0,2500,270,1000,500,35000,35000,418000,
2117,1902,74,0,2500,270,1000,500,35000,35000,418000,
2118,1901,74,0,2500,270,1000,500,35000,35000,417000,
2120,1901,74,0,2500,270,1000,500,35000,35000,417000,
2122,1899,74,0,2500,270,1000,500,35000,35000,417000,
2123,1898,74,0,2500,270,1000,500,35000,35000,413000,
