RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidISum,RegPeltierPidISumMax,RegPeltierPidMv,
2001,1959,56,0,2200,270,1000,10,537,25000,199537,
2004,1950,56,0,2200,270,1000,10,537,25000,199537,
2003,1949,56,0,2200,270,1000,10,537,25000,199537,
2003,1950,56,0,2200,270,1000,10,1068,25000,198068,
2001,1960,56,0,2200,270,1000,10,1068,25000,198068,
2001,1960,56,0,2200,270,1000,10,1068,25000,198068,
1990,1977,56,0,2200,270,1000,10,1605,25000,200605,
1989,1959,56,0,2200,270,1000,10,1605,25000,200605,
1990,1953,56,0,2200,270,1000,10,2177,25000,214177,
2002,1962,56,0,2200,270,1000,10,2177,25000,214177,
2004,1962,56,0,2200,270,1000,10,2177,25000,214177,
1993,1958,56,0,2200,270,1000,10,2735,25000,209735,
1993,1959,56,0,2200,270,1000,10,2735,25000,209735,
2006,1960,56,0,2200,270,1000,10,2735,25000,209735,
2008,1962,56,0,2200,270,1000,10,3258,25000,197258,
2008,1960,56,0,2200,270,1000,10,3258,25000,197258,
2014,1962,56,0,2200,270,1000,10,3776,25000,195776,
2015,1963,56,0,2200,270,1000,10,3776,25000,195776,
2016,1964,56,0,2200,270,1000,10,3776,25000,195776,
2012,1960,56,0,2200,270,1000,10,4272,25000,188272,
2013,1960,56,0,2200,270,1000,10,4272,25000,188272,
2015,1984,56,0,2200,270,1000,10,4774,25000,190774,
2016,1983,56,0,2200,270,1000,10,4774,25000,190774,
2018,1982,56,0,2200,270,1000,10,4774,25000,190774,
2019,1961,56,0,2200,270,1000,10,5265,25000,187265,
2012,1960,56,0,2200,270,1000,10,5265,25000,187265,
2035,2004,56,0,2200,270,1000,10,5710,25000,170710,
2037,2005,56,0,2200,270,1000,10,5710,25000,170710,
2025,1957,56,0,2200,270,1000,10,5710,25000,170710,
2026,1961,56,0,2200,270,1000,10,6182,25000,181182,
2026,1961,56,0,2200,270,1000,10,6182,25000,181182,
2025,1935,56,0,2200,270,1000,10,6654,25000,181654,
2025,1934,56,0,2200,270,1000,10,6654,25000,181654,
2029,1959,56,0,2200,270,1000,10,6654,25000,181654,
2030,1959,56,0,2200,270,1000,10,7115,25000,178115,
2035,1959,56,0,2200,270,1000,10,7115,25000,178115,
2038,1962,56,0,2200,270,1000,10,7555,25000,170555,
2039,1961,56,0,2200,270,1000,10,7555,25000,170555,
2036,1957,56,0,2200,270,1000,10,7555,25000,170555,
2037,1956,56,0,2200,270,1000,10,7997,25000,171997,
2060,1959,56,0,2200,270,1000,10,7997,25000,171997,
2059,1959,56,0,2200,270,1000,10,7997,25000,171997,
2060,1957,56,0,2200,270,1000,10,8377,25000,149377,
2041,1956,56,0,2200,270,1000,10,8377,25000,149377,
2043,1956,56,0,2200,270,1000,10,8803,25000,166803,
2043,1955,56,0,2200,270,1000,10,8803,25000,166803,
2043,1918,56,0,2200,270,1000,10,8803,25000,166803,
2044,1916,56,0,2200,270,1000,10,9226,25000,166226,
2045,1917,56,0,2200,270,1000,10,9226,25000,166226,
2046,1955,56,0,2200,270,1000,10,9644,25000,164644,
2047,1957,56,0,2200,270,1000,10,9644,25000,164644,
2048,1938,56,0,2200,270,1000,10,9644,25000,164644,
2049,1938,56,0,2200,270,1000,10,10054,25000,162054,
2051,1985,56,0,2200,270,1000,10,10054,25000,162054,
2052,1985,56,0,2200,270,1000,10,10453,25000,158453,
2048,1984,56,0,2200,270,1000,10,10453,25000,158453,
2050,1953,56,0,2200,270,1000,10,10453,25000,158453,
2052,1954,56,0,2200,270,1000,10,10858,25000,160858,
2056,1952,56,0,2200,270,1000,10,10858,25000,160858,
2057,1952,56,0,2200,270,1000,10,11244,25000,154244,
2033,1951,56,0,2200,270,1000,10,11244,25000,154244,
2034,1953,56,0,2200,270,1000,10,11244,25000,154244,
2035,1952,56,0,2200,270,1000,10,11692,25000,177692,
2061,1949,56,0,2200,270,1000,10,11692,25000,177692,
2062,1949,56,0,2200,270,1000,10,11692,25000,177692,
2062,1959,56,0,2200,270,1000,10,12064,25000,150064,
2063,1960,56,0,2200,270,1000,10,12064,25000,150064,
2065,1960,56,0,2200,270,1000,10,12433,25000,149433,
2065,1948,56,0,2200,270,1000,10,12433,25000,149433,
2066,1948,56,0,2200,270,1000,10,12794,25000,146794,
2039,1945,56,0,2200,270,1000,10,12794,25000,146794,
2040,1945,56,0,2200,270,1000,10,12794,25000,146794,
2044,1943,56,0,2200,270,1000,10,13223,25000,172223,
2070,1946,56,0,2200,270,1000,10,13223,25000,172223,
2071,1946,56,0,2200,270,1000,10,13223,25000,172223,
2064,1944,56,0,2200,270,1000,10,13571,25000,142571,
2063,1944,56,0,2200,270,1000,10,13571,25000,142571,
2073,1944,56,0,2200,270,1000,10,13935,25000,148935,
2074,1944,56,0,2200,270,1000,10,13935,25000,148935,
2075,1944,56,0,2200,270,1000,10,13935,25000,148935,
2075,1948,56,0,2200,270,1000,10,14272,25000,139272,
2077,1948,56,0,2200,270,1000,10,14272,25000,139272,
2078,1949,56,0,2200,270,1000,10,14601,25000,136601,
2079,1942,56,0,2200,270,1000,10,14601,25000,136601,
2079,1942,56,0,2200,270,1000,10,14601,25000,136601,
2093,1940,56,0,2200,270,1000,10,14892,25000,122892,
2093,1940,56,0,2200,270,1000,10,14892,25000,122892,
2082,1941,56,0,2200,270,1000,10,15213,25000,134213,
2082,1942,56,0,2200,270,1000,10,15213,25000,134213,
2081,1942,56,0,2200,270,1000,10,15213,25000,134213,
2065,1941,56,0,2200,270,1000,10,15534,25000,134534,
2067,1938,56,0,2200,270,1000,10,15534,25000,134534,
2069,1939,56,0,2200,270,1000,10,15534,25000,134534,
2087,1939,56,0,2200,270,1000,10,15887,25000,146887,
2087,1938,56,0,2200,270,1000,10,15887,25000,146887,
2087,1936,56,0,2200,270,1000,10,16192,25000,129192,
2087,1937,56,0,2200,270,1000,10,16192,25000,129192,
2089,1936,56,0,2200,270,1000,10,16192,25000,129192,
2090,1935,56,0,2200,270,1000,10,16491,25000,127491,
2092,1934,56,0,2200,270,1000,10,16491,25000,127491,
2093,1940,56,0,2200,270,1000,10,16777,25000,122777,
2094,1939,56,0,2200,270,1000,10,16777,25000,122777,
2095,1938,56,0,2200,270,1000,10,16777,25000,122777,
2094,1934,56,0,2200,270,1000,10,17065,25000,124065,
2095,1922,56,0,2200,270,1000,10,17065,25000,124065,
2095,1916,56,0,2200,270,1000,10,17348,25000,122348,
2096,1916,56,0,2200,270,1000,10,17348,25000,122348,
2098,1931,56,0,2200,270,1000,10,17348,25000,122348,
2099,1931,56,0,2200,270,1000,10,17623,25000,119623,
2098,1931,56,0,2200,270,1000,10,17623,25000,119623,
2099,1901,56,0,2200,270,1000,10,17895,25000,118895,
2099,1901,56,0,2200,270,1000,10,17895,25000,118895,
2100,1930,56,0,2200,270,1000,10,17895,25000,118895,
2101,1930,56,0,2200,270,1000,10,18162,25000,117162,
2104,1929,56,0,2200,270,1000,10,18162,25000,117162,
2104,1917,56,0,2200,270,1000,10,18421,25000,114421,
2104,1917,56,0,2200,270,1000,10,18421,25000,114421,
2104,1929,56,0,2200,270,1000,10,18421,25000,114421,
2104,1929,56,0,2200,270,1000,10,18680,25000,114680,
2105,1934,56,0,2200,270,1000,10,18680,25000,114680,
2105,1934,56,0,2200,270,1000,10,18680,25000,114680,
2107,1934,56,0,2200,270,1000,10,18936,25000,113936,
2109,1929,56,0,2200,270,1000,10,18936,25000,113936,
2110,1928,56,0,2200,270,1000,10,19179,25000,109179,
2110,1928,56,0,2200,270,1000,10,19179,25000,109179,
2110,1927,56,0,2200,270,1000,10,19179,25000,109179,
2110,1927,56,0,2200,270,1000,10,19422,25000,109422,
2111,1925,56,0,2200,270,1000,10,19422,25000,109422,
2112,1925,56,0,2200,270,1000,10,19659,25000,107659,
2115,1928,56,0,2200,270,1000,10,19659,25000,107659,
2115,1927,56,0,2200,270,1000,10,19659,25000,107659,
2116,1925,56,0,2200,270,1000,10,19885,25000,103885,
2116,1924,56,0,2200,270,1000,10,19885,25000,103885,
2117,1924,56,0,2200,270,1000,10,20109,25000,103109,
2116,1924,56,0,2200,270,1000,10,20109,25000,103109,
2116,1923,56,0,2200,270,1000,10,20109,25000,103109,
2116,1922,56,0,2200,270,1000,10,20335,25000,104335,
2118,1923,56,0,2200,270,1000,10,20335,25000,104335,
2119,1922,56,0,2200,270,1000,10,20553,25000,101553,
2110,1915,56,0,2200,270,1000,10,20553,25000,101553,
2111,1915,56,0,2200,270,1000,10,20553,25000,101553,
2120,1914,56,0,2200,270,1000,10,20793,25000,109793,
2122,1920,56,0,2200,270,1000,10,20793,25000,109793,
2123,1920,56,0,2200,270,1000,10,21000,25000,98000,
2143,1921,56,0,2200,270,1000,10,21000,25000,98000,
2143,1921,56,0,2200,270,1000,10,21000,25000,98000,
2124,1921,56,0,2200,270,1000,10,21153,25000,78153,
2125,1921,56,0,2200,270,1000,10,21153,25000,78153,
2126,1918,56,0,2200,270,1000,10,21153,25000,78153,
2127,1918,56,0,2200,270,1000,10,21352,25000,95352,
2129,1918,56,0,2200,270,1000,10,21352,25000,95352,
2130,1917,56,0,2200,270,1000,10,21543,25000,92543,
2130,1916,56,0,2200,270,1000,10,21543,25000,92543,
2130,1916,56,0,2200,270,1000,10,21543,25000,92543,
2130,1916,56,0,2200,270,1000,10,21732,25000,91732,
2130,1916,56,0,2200,270,1000,10,21732,25000,91732,
2131,1916,56,0,2200,270,1000,10,21918,25000,90918,
2132,1916,56,0,2200,270,1000,10,21918,25000,90918,
2133,1914,56,0,2200,270,1000,10,21918,25000,90918,
2132,1922,56,0,2200,270,1000,10,22101,25000,90101,
2133,1923,56,0,2200,270,1000,10,22101,25000,90101,
2134,1923,56,0,2200,270,1000,10,22279,25000,88279,
2135,1913,56,0,2200,270,1000,10,22279,25000,88279,
2137,1914,56,0,2200,270,1000,10,22279,25000,88279,
2137,1914,56,0,2200,270,1000,10,22449,25000,85449,
2138,1913,56,0,2200,270,1000,10,22449,25000,85449,
2138,1911,56,0,2200,270,1000,10,22449,25000,85449,
2139,1913,56,0,2200,270,1000,10,22616,25000,84616,
2140,1913,56,0,2200,270,1000,10,22616,25000,84616,
2140,1913,56,0,2200,270,1000,10,22778,25000,82778,
2141,1912,56,0,2200,270,1000,10,22778,25000,82778,
2142,1908,56,0,2200,270,1000,10,22778,25000,82778,
2143,1910,56,0,2200,270,1000,10,22934,25000,80934,
2144,1911,56,0,2200,270,1000,10,22934,25000,80934,
2144,1917,56,0,2200,270,1000,10,23087,25000,80087,
2144,1916,56,0,2200,270,1000,10,23087,25000,80087,
2146,1910,56,0,2200,270,1000,10,23087,25000,80087,
2148,1907,56,0,2200,270,1000,10,23232,25000,77232,
2148,1907,56,0,2200,270,1000,10,23232,25000,77232,
2148,1907,56,0,2200,270,1000,10,23369,25000,74369,
2159,1908,56,0,2200,270,1000,10,23369,25000,74369,
2160,1908,56,0,2200,270,1000,10,23369,25000,74369,
2161,1907,56,0,2200,270,1000,10,23477,25000,63477,
2151,1906,56,0,2200,270,1000,10,23477,25000,63477,
2152,1907,56,0,2200,270,1000,10,23609,25000,72609,
2151,1908,56,0,2200,270,1000,10,23609,25000,72609,
2152,1910,56,0,2200,270,1000,10,23609,25000,72609,
2153,1909,56,0,2200,270,1000,10,23735,25000,70735,
