RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidISum,RegPeltierPidISumMax,RegPeltierPidMv,
1968,1990,31,0,2200,270,1000,500,31320,40000,263320,
1970,1991,56,0,2200,270,1000,500,31320,40000,263320,
1970,1992,56,0,2200,270,1000,500,31320,40000,263320,
1971,1991,56,0,2200,270,1000,500,40000,40000,270000,
1971,1991,56,0,2200,270,1000,500,40000,40000,270000,
1971,1990,56,0,2200,270,1000,500,40000,40000,270000,
1973,1991,56,0,2200,270,1000,500,40000,40000,269000,
1975,1993,56,0,2200,270,1000,500,40000,40000,269000,
1976,1993,56,0,2200,270,1000,500,40000,40000,264000,
1978,1993,56,0,2200,270,1000,500,40000,40000,264000,
1979,1993,56,0,2200,270,1000,500,40000,40000,264000,
1981,1992,56,0,2200,270,1000,500,40000,40000,260000,
1982,1990,56,0,2200,270,1000,500,40000,40000,260000,
1984,1992,56,0,2200,270,1000,500,40000,40000,257000,
1986,1992,56,0,2200,270,1000,500,40000,40000,257000,
1989,1994,56,0,2200,270,1000,500,40000,40000,257000,
1989,1994,56,0,2200,270,1000,500,40000,40000,252000,
1991,1995,56,0,2200,270,1000,500,40000,40000,252000,
1993,1994,56,0,2200,270,1000,500,40000,40000,248000,
1997,1994,56,0,2200,270,1000,500,40000,40000,248000,
1998,1993,56,0,2200,270,1000,500,40000,40000,248000,
1999,1992,56,0,2200,270,1000,500,40000,40000,241000,
2001,1993,56,0,2200,270,1000,500,40000,40000,241000,
2002,1992,56,0,2200,270,1000,500,40000,40000,239000,
2003,1992,56,0,2200,270,1000,500,40000,40000,239000,
2005,1993,56,0,2200,270,1000,500,40000,40000,239000,
2007,1993,56,0,2200,270,1000,500,40000,40000,235000,
2008,1992,56,0,2200,270,1000,500,40000,40000,235000,
2010,1992,56,0,2200,270,1000,500,40000,40000,235000,
2011,1992,56,0,2200,270,1000,500,40000,40000,230000,
2013,1992,56,0,2200,270,1000,500,40000,40000,230000,
2015,1990,56,0,2200,270,1000,500,40000,40000,226000,
2016,1991,56,0,2200,270,1000,500,40000,40000,226000,
2018,1993,56,0,2200,270,1000,500,40000,40000,226000,
2020,1993,56,0,2200,270,1000,500,40000,40000,222000,
2020,1991,56,0,2200,270,1000,500,40000,40000,222000,
