RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidKd,
2018,2081,94,1,2200,270,200,0,0,
2018,2080,55,0,2200,270,200,0,0,
2016,2079,55,0,2200,270,200,0,0,
2016,2081,56,0,2200,270,200,0,0,
2016,2082,56,0,2200,270,200,0,0,
2017,2081,56,0,2200,270,200,0,0,
2017,2081,55,0,2200,270,200,0,0,
2016,2081,55,0,2200,270,200,0,0,
2017,2080,56,0,2200,270,200,0,0,
2018,2079,56,0,2200,270,200,0,0,
2019,2078,56,0,2200,270,200,0,0,
2019,2079,55,0,2200,270,200,0,0,
2020,2078,55,0,2200,270,200,0,0,
2021,2079,54,0,2200,270,200,0,0,
2024,2080,54,0,2200,270,200,0,0,
2026,2080,54,0,2200,270,200,0,0,
2026,2080,53,0,2200,270,200,0,0,
2027,2081,53,0,2200,270,200,0,0,
2030,2081,53,0,2200,270,200,0,0,
2032,2079,51,0,2200,270,200,0,0,
2034,2078,51,0,2200,270,200,0,0,
2035,2080,50,0,2200,270,200,0,0,
2036,2081,50,0,2200,270,200,0,0,
2037,2079,50,0,2200,270,200,0,0,
2040,2078,49,0,2200,270,200,0,0,
2042,2079,49,0,2200,270,200,0,0,
2042,2077,48,0,2200,270,200,0,0,
2043,2079,48,0,2200,270,200,0,0,
2044,2079,48,0,2200,270,200,0,0,
2046,2078,47,0,2200,270,200,0,0,
2047,2076,47,0,2200,270,200,0,0,
2050,2074,46,0,2200,270,200,0,0,
2051,2074,46,0,2200,270,200,0,0,
2052,2076,46,0,2200,270,200,0,0,
2053,2077,45,0,2200,270,200,0,0,
2055,2076,45,0,2200,270,200,0,0,
2056,2074,44,0,2200,270,200,0,0,
2056,2073,44,0,2200,270,200,0,0,
2057,2072,44,0,2200,270,200,0,0,
2058,2071,43,0,2200,270,200,0,0,
2060,2071,43,0,2200,270,200,0,0,
2060,2071,42,0,2200,270,200,0,0,
2062,2071,42,0,2200,270,200,0,0,
2064,2071,42,0,2200,270,200,0,0,
2066,2070,40,0,2200,270,200,0,0,
2067,2070,40,0,2200,270,200,0,0,
2067,2069,40,0,2200,270,200,0,0,
2068,2068,40,0,2200,270,200,0,0,
2070,2068,40,0,2200,270,200,0,0,
2071,2068,39,0,2200,270,200,0,0,
2070,2066,39,0,2200,270,200,0,0,
2072,2066,39,0,2200,270,200,0,0,
2073,2066,39,0,2200,270,200,0,0,
2074,2066,39,0,2200,270,200,0,0,
2074,2064,38,0,2200,270,200,0,0,
2075,2065,38,0,2200,270,200,0,0,
2077,2065,38,0,2200,270,200,0,0,
2078,2067,37,0,2200,270,200,0,0,
2078,2065,37,0,2200,270,200,0,0,
2079,2064,36,0,2200,270,200,0,0,
2080,2063,36,0,2200,270,200,0,0,
2080,2062,36,0,2200,270,200,0,0,
2087,2061,36,0,2200,270,200,0,0,
2089,2059,36,0,2200,270,200,0,0,
2091,2060,36,0,2200,270,200,0,0,
2084,2059,33,0,2200,270,200,0,0,
2084,2059,33,0,2200,270,200,0,0,
2085,2058,35,0,2200,270,200,0,0,
2085,2058,35,0,2200,270,200,0,0,
2086,2057,35,0,2200,270,200,0,0,
2087,2057,34,0,2200,270,200,0,0,
2086,2058,34,0,2200,270,200,0,0,
2088,2060,34,0,2200,270,200,0,0,
2089,2059,34,0,2200,270,200,0,0,
2090,2057,34,0,2200,270,200,0,0,
2090,2056,33,0,2200,270,200,0,0,
2091,2056,33,0,2200,270,200,0,0,
2091,2071,33,0,2200,270,200,0,0,
2092,2072,33,0,2200,270,200,0,0,
2093,2055,33,0,2200,270,200,0,0,
2093,2054,32,0,2200,270,200,0,0,
2094,2053,32,0,2200,270,200,0,0,
2095,2051,32,0,2200,270,200,0,0,
2096,2053,32,0,2200,270,200,0,0,
2096,2054,32,0,2200,270,200,0,0,
2096,2054,31,0,2200,270,200,0,0,
2096,2054,31,0,2200,270,200,0,0,
2097,2051,31,0,2200,270,200,0,0,
2097,2050,31,0,2200,270,200,0,0,
2097,2050,31,0,2200,270,200,0,0,
2098,2051,31,0,2200,270,200,0,0,
2100,2048,31,0,2200,270,200,0,0,
2102,2047,31,0,2200,270,200,0,0,
2103,2048,29,0,2200,270,200,0,0,
2101,2047,29,0,2200,270,200,0,0,
2101,2047,30,0,2200,270,200,0,0,
2102,2045,30,0,2200,270,200,0,0,
2104,2045,30,0,2200,270,200,0,0,
2104,2045,29,0,2200,270,200,0,0,
2104,2045,29,0,2200,270,200,0,0,
2105,2046,29,0,2200,270,200,0,0,
2105,2046,29,0,2200,270,200,0,0,
2105,2043,29,0,2200,270,200,0,0,
2105,2044,28,0,2200,270,200,0,0,
2106,2044,28,0,2200,270,200,0,0,
2106,2043,28,0,2200,270,200,0,0,
2106,2043,28,0,2200,270,200,0,0,
2107,2042,28,0,2200,270,200,0,0,
2108,2043,28,0,2200,270,200,0,0,
2109,2041,28,0,2200,270,200,0,0,
2111,2040,27,0,2200,270,200,0,0,
2109,2039,27,0,2200,270,200,0,0,
2109,2041,27,0,2200,270,200,0,0,
2110,2041,27,0,2200,270,200,0,0,
2109,2039,27,0,2200,270,200,0,0,
2110,2039,27,0,2200,270,200,0,0,
2112,2040,27,0,2200,270,200,0,0,
2111,2041,27,0,2200,270,200,0,0,
2112,2041,27,0,2200,270,200,0,0,
2112,2041,27,0,2200,270,200,0,0,
2112,2040,27,0,2200,270,200,0,0,
2114,2039,26,0,2200,270,200,0,0,
2114,2039,26,0,2200,270,200,0,0,
2114,2038,26,0,2200,270,200,0,0,
2113,2038,26,0,2200,270,200,0,0,
2115,2038,26,0,2200,270,200,0,0,
2114,2037,25,0,2200,270,200,0,0,
2116,2037,25,0,2200,270,200,0,0,
2117,2035,25,0,2200,270,200,0,0,
2118,2036,25,0,2200,270,200,0,0,
2118,2036,25,0,2200,270,200,0,0,
2118,2036,25,0,2200,270,200,0,0,
2118,2036,25,0,2200,270,200,0,0,
2117,2036,25,0,2200,270,200,0,0,
2118,2035,25,0,2200,270,200,0,0,
2120,2035,25,0,2200,270,200,0,0,
2119,2033,24,0,2200,270,200,0,0,
2120,2033,24,0,2200,270,200,0,0,
2120,2032,24,0,2200,270,200,0,0,
2122,2032,24,0,2200,270,200,0,0,
2122,2034,24,0,2200,270,200,0,0,
2122,2032,23,0,2200,270,200,0,0,
2122,2034,23,0,2200,270,200,0,0,
2123,2033,23,0,2200,270,200,0,0,
2123,2034,23,0,2200,270,200,0,0,
2124,2035,23,0,2200,270,200,0,0,
2124,2035,23,0,2200,270,200,0,0,
2123,2033,23,0,2200,270,200,0,0,
2123,2032,23,0,2200,270,200,0,0,
