RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidISum,RegPeltierPidISumMax,RegPeltierPidMv,
1997,1784,25,1,1400,270,1000,1000,-40000,40000,-573465,
1996,1784,25,1,1400,270,1000,1000,-40000,40000,-573465,
1994,1781,25,1,1400,270,1000,1000,-40000,40000,-573465,
1993,1782,25,1,1400,270,1000,1000,-40000,40000,-568465,
1992,1782,25,1,1400,270,1000,1000,-40000,40000,-568465,
1990,1784,25,1,1400,270,1000,1000,-40000,40000,-565465,
1987,1786,25,1,1400,270,1000,1000,-40000,40000,-565465,
1984,1786,25,1,1400,270,1000,1000,-40000,40000,-565465,
1982,1787,25,1,1400,270,1000,1000,-40000,40000,-558465,
1979,1786,25,1,1400,270,1000,1000,-40000,40000,-558465,
1977,1788,25,1,1400,270,1000,1000,-40000,40000,-552465,
1973,1788,25,1,1400,270,1000,1000,-40000,40000,-552465,
1970,1787,25,1,1400,270,1000,1000,-40000,40000,-552465,
1966,1788,25,1,1400,270,1000,1000,-40000,40000,-543465,
1963,1788,25,1,1400,270,1000,1000,-40000,40000,-543465,
1961,1788,25,1,1400,270,1000,1000,-40000,40000,-536465,
1956,1789,25,1,1400,270,1000,1000,-40000,40000,-536465,
1953,1790,25,1,1400,270,1000,1000,-40000,40000,-536465,
1949,1788,25,1,1400,270,1000,1000,-40000,40000,-526465,
1946,1789,25,1,1400,270,1000,1000,-40000,40000,-526465,
1942,1790,25,1,1400,270,1000,1000,-40000,40000,-517465,
1938,1792,25,1,1400,270,1000,1000,-40000,40000,-517465,
1934,1793,25,1,1400,270,1000,1000,-40000,40000,-517465,
1931,1792,25,1,1400,270,1000,1000,-40000,40000,-507465,
1929,1793,25,1,1400,270,1000,1000,-40000,40000,-507465,
1926,1796,25,1,1400,270,1000,1000,-40000,40000,-507465,
1921,1797,25,1,1400,270,1000,1000,-40000,40000,-500465,
1917,1798,25,1,1400,270,1000,1000,-40000,40000,-500465,
1914,1795,25,1,1400,270,1000,1000,-40000,40000,-489465,
1912,1797,25,1,1400,270,1000,1000,-40000,40000,-489465,
1908,1798,25,1,1400,270,1000,1000,-40000,40000,-489465,
1904,1799,25,1,1400,270,1000,1000,-40000,40000,-482465,
1899,1801,25,1,1400,270,1000,1000,-40000,40000,-482465,
1896,1801,25,1,1400,270,1000,1000,-40000,40000,-471465,
1893,1803,25,1,1400,270,1000,1000,-40000,40000,-471465,
1890,1803,25,1,1400,270,1000,1000,-40000,40000,-471465,
1887,1801,25,1,1400,270,1000,1000,-40000,40000,-464465,
1883,1806,25,1,1400,270,1000,1000,-40000,40000,-464465,
1880,1806,25,1,1400,270,1000,1000,-40000,40000,-455465,
1877,1807,25,1,1400,270,1000,1000,-40000,40000,-455465,
1875,1806,25,1,1400,270,1000,1000,-40000,40000,-455465,
